ID,文物类型,文物ID,mapping_id,关系谓词,属性值,置信度,created_at
1,period,1,21,P1 is identified by(被标识为),良渚文化,0.8,2025-12-01 18:44:17
2,period,1,22,P7 took place at,良渚文化时期,0.8,2025-12-01 18:44:17
3,period,1,24,P10 falls within,新石器时代晚期,0.8,2025-12-01 18:44:17
4,period,1,27,P108i was produced by,"M12, M13, M14, M15, M16, M17, M18, H1, F1",0.8,2025-12-01 18:44:17
5,period,2,21,P1 is identified by(被标识为),唐宋时期,0.8,2025-12-01 18:44:17
6,period,2,22,P7 took place at,历史时期,0.8,2025-12-01 18:44:17
7,period,2,24,P10 falls within,唐宋,0.8,2025-12-01 18:44:17
8,period,2,27,P108i was produced by,"M01, M02, M03, 地层堆积",0.8,2025-12-01 18:44:17
9,period,3,21,P1 is identified by(被标识为),良渚文化,0.8,2025-12-01 18:44:24
10,period,3,22,P7 took place at,瑶山遗址,0.8,2025-12-01 18:44:24
11,period,3,24,P10 falls within,新石器时代,0.8,2025-12-01 18:44:24
12,period,4,21,P1 is identified by(被标识为),良渚文化中期偏早,0.8,2025-12-01 18:44:32
13,period,4,22,P7 took place at,贵族墓地,0.8,2025-12-01 18:44:32
14,period,5,21,P1 is identified by(被标识为),良渚文化,0.8,2025-12-01 18:44:32
15,pottery,1,65,P53 has former or current location,M15,0.8,2025-12-01 18:52:00
16,pottery,1,60,P1\text{ is identified by},M15:42,0.8,2025-12-01 18:52:00
17,pottery,1,51,P2 has type (是类型),豆,0.8,2025-12-01 18:52:00
18,pottery,2,65,P53 has former or current location,反山M18,0.8,2025-12-01 18:52:00
19,pottery,2,60,P1\text{ is identified by},M18:28,0.8,2025-12-01 18:52:00
20,pottery,3,65,P53 has former or current location,反山M20,0.8,2025-12-01 18:52:00
21,pottery,3,60,P1\text{ is identified by},M20：201,0.8,2025-12-01 18:52:00
22,pottery,4,65,P53 has former or current location,反山M20,0.8,2025-12-01 18:52:00
23,pottery,4,60,P1\text{ is identified by},M20：200,0.8,2025-12-01 18:52:00
24,pottery,5,60,P1\text{ is identified by},M22：66,0.8,2025-12-01 18:52:00
25,pottery,5,53,P46 is composed of (或者反向 P46),陶甑鼎,0.8,2025-12-01 18:52:00
26,pottery,5,65,P53 has former or current location,反山M22,0.8,2025-12-01 18:52:00
27,pottery,6,60,P1\text{ is identified by},M22：65,0.8,2025-12-01 18:52:00
28,pottery,6,53,P46 is composed of (或者反向 P46),陶甑鼎,0.8,2025-12-01 18:52:00
29,pottery,6,65,P53 has former or current location,反山M22,0.8,2025-12-01 18:52:00
30,pottery,7,60,P1\text{ is identified by},M22：61,0.8,2025-12-01 18:52:00
31,pottery,7,65,P53 has former or current location,反山M22,0.8,2025-12-01 18:52:00
32,pottery,8,65,P53 has former or current location,M22,0.8,2025-12-01 18:52:00
33,pottery,8,60,P1\text{ is identified by},M22:66,0.8,2025-12-01 18:52:00
34,pottery,8,53,P46 is composed of (或者反向 P46),陶甑鼎,0.8,2025-12-01 18:52:00
35,pottery,9,65,P53 has former or current location,M22,0.8,2025-12-01 18:52:00
36,pottery,9,60,P1\text{ is identified by},M22:65,0.8,2025-12-01 18:52:00
37,pottery,9,53,P46 is composed of (或者反向 P46),陶甑鼎,0.8,2025-12-01 18:52:00
38,pottery,10,65,P53 has former or current location,M22,0.8,2025-12-01 18:52:00
39,pottery,10,60,P1\text{ is identified by},M22:61,0.8,2025-12-01 18:52:00
40,pottery,11,65,P53 has former or current location,M23,0.8,2025-12-01 18:52:00
41,pottery,11,60,P1\text{ is identified by},M23:203,0.8,2025-12-01 18:52:00
42,pottery,12,65,P53 has former or current location,M23,0.8,2025-12-01 18:52:00
43,pottery,12,60,P1\text{ is identified by},M23:210,0.8,2025-12-01 18:52:00
