ID,task_id,site_id,period_id,structure_id,文物编号,一级分类,二级分类,三级分类,原始出土地点,出土区域,出土单位,出土层位,出土墓葬,玉料类型,玉料颜色,玉料质地,transparency,沁色/表面,器型单元,shape_description,整体形态,纹饰单元,纹饰主题,decoration_description,工艺单元,切割工艺,钻孔工艺,雕刻工艺,decoration_craft,production_technique,尺寸描述,量度信息,长度(cm),宽度(cm),厚度(cm),高度(cm),直径(cm),孔径(cm),重量(g),制作活动,制作者,制作年代,制作地点,excavation_activity,功能,使用方式,保存状况,完整程度,有图片,main_image_id,source_text_blocks,raw_attributes,cidoc_attributes,extraction_confidence,created_at,updated_at
1,task_20251202_024347_4869,1,,,M12:98,琮筒类 (Cong/Tube),玉琮,甲型琮,反山遗址十二号墓,反山遗址,M12,,M12,透闪石软玉,嫩白色略偏浅黄,一侧有紫红色的不规则瑕疵,,有不规则紫红色瑕斑,琮筒类 (Cong/Tube),,器形呈扁矮的方柱体，内圆外方，上、下端为圆面的射，中有对钻圆孔，留有台痕。下端有取料时形成的凹缺。 | 玉琮，四角上下共八组神人兽面纹鸟纹图案，与直槽内的神人兽面纹相呼应 |  | 矮方柱体，俯视近似玉璧形，射径大，孔径小，器形宽阔,神人神兽纹饰单元、宗教符号单元,神人兽面纹、鸟纹,,切割与成型、钻孔技术、雕刻技法,片切割,对钻,浅浮雕，阴纹线刻,减地、填刻,,通高8.9厘米，上射径17.1~17.6、下射径16.5~17.5厘米，孔外径5、孔内径3.8厘米,"通高8.9厘米，上射径17.1~17.6、下射径16.5~17.5厘米，孔外径5、孔内径3.8厘米 | 通高8.9厘米，上射径17.1~17.6厘米，下射径16.5~17.5厘米，孔外径5厘米，孔内径3.8厘米 |  | {'diameter_min': 17.1, 'diameter_max': 17.6, 'hole_diameter': 4.9, 'height': 8.8, 'weight': 6500}",0.0,0.0,0.0,8.9,17.35,5.0,6500.0,,,,,反山墓地发掘,宗教礼仪,象征神权,,,0,,[0],"{""weight"": 6500, ""measurements"": ""通高8.9厘米，上射径17.1~17.6、下射径16.5~17.5厘米，孔外径5、孔内径3.8厘米 | 通高8.9厘米，上射径17.1~17.6厘米，下射径16.5~17.5厘米，孔外径5厘米，孔内径3.8厘米 |  | {'diameter_min': 17.1, 'diameter_max': 17.6, 'hole_diameter': 4.9, 'height': 8.8, 'weight': 6500}"", ""decoration_craft"": ""减地、填刻"", ""width"": 0, ""production_location"": """", ""image_references"": ""['图三六', '图三七', '图三八', '图三九', '彩图141~290'] | ['图三六', '图三六A', '图三六B', '图三六C', '图三六D', '图三六E', '图三六F', '图三六G', '图三六H', '插页1', '图三八'] | [] | ['图三八A'] | ['彩色插页壹:1', '图一九', '图二〇']"", ""category_level1"": ""琮筒类 (Cong/Tube)"", ""shape_unit"": ""琮筒类 (Cong/Tube)"", ""dimensions"": ""通高8.9厘米，上射径17.1~17.6、下射径16.5~17.5厘米，孔外径5、孔内径3.8厘米"", ""height"": 8.9, ""cutting_technique"": ""片切割"", ""location_unit"": """", ""carving_technique"": ""浅浮雕，阴纹线刻"", ""excavation_location"": ""反山遗址十二号墓"", ""hole_diameter"": 5, ""function_detail"": ""象征墓主人拥有神权"", ""decoration_theme"": ""神人兽面纹、鸟纹"", ""ex_unit"": ""M12"", ""jade_type"": ""透闪石软玉"", ""surface_condition"": ""有不规则紫红色瑕斑"", ""craft_unit"": ""切割与成型、钻孔技术、雕刻技法"", ""excavation_activity"": ""反山墓地发掘"", ""artifact_code"": ""M12:98"", ""ex_layer"": """", ""function"": ""宗教礼仪"", ""jade_color"": ""嫩白色略偏浅黄"", ""category_level3"": ""甲型琮"", ""jade_quality"": ""一侧有紫红色的不规则瑕疵"", ""decoration_unit"": ""神人神兽纹饰单元、宗教符号单元"", ""length"": 0, ""production_period"": ""良渚中期偏早，距今约5000~4800年"", ""production_activity"": """", ""maker"": """", ""overall_description"": ""器形呈扁矮的方柱体，内圆外方，上、下端为圆面的射，中有对钻圆孔，留有台痕。下端有取料时形成的凹缺。 | 玉琮，四角上下共八组神人兽面纹鸟纹图案，与直槽内的神人兽面纹相呼应 |  | 矮方柱体，俯视近似玉璧形，射径大，孔径小，器形宽阔"", ""category_level2"": ""玉琮"", ""drilling_technique"": ""对钻"", ""diameter"": 17.35, ""usage"": ""象征神权"", ""thickness"": 0, ""ex_region"": ""反山遗址""}",{},0.8,2025-12-01 20:55:06,2025-12-02 01:08:37
2,task_20251202_024347_4869,1,,,M12:97,琮筒类 (Cong/Tube),玉琮,三节,反山遗址 M12,反山,M12,未提及,M12,透闪石软玉,南瓜黄,未提及,,未提及,琮筒类,,矮方柱体，壁薄孔大，俯视如玉镯形,神人神兽纹饰单元,神人兽面纹,,切割与成型、钻孔技术、雕刻技法,凸块缘侧部位切割,未提及,浅浮雕、细线刻,细弦纹、重圈眼、卷云纹,,通高9.8~9.9厘米，上射径8.37~8.42、下射径8.27~8.37厘米，孔外径上6.6、孔外径下为6.4厘米，孔内径5.8厘米,"通高9.8~9.9厘米，上射径8.37~8.42、下射径8.27~8.37厘米，孔外径上6.6、孔外径下为6.4厘米，孔内径5.8厘米 | {'height': 10, 'diameter': 8.4, 'hole_diameter': 6.6}",0.0,0.0,0.0,9.85,8.37,5.8,0.0,未提及,未提及,,未提及,反山遗址发掘,宗教礼仪,祭祀或象征权力,,,0,,[0],"{""weight"": 0, ""measurements"": ""通高9.8~9.9厘米，上射径8.37~8.42、下射径8.27~8.37厘米，孔外径上6.6、孔外径下为6.4厘米，孔内径5.8厘米 | {'height': 10, 'diameter': 8.4, 'hole_diameter': 6.6}"", ""decoration_craft"": ""细弦纹、重圈眼、卷云纹"", ""width"": 0, ""production_location"": ""未提及"", ""image_references"": ""['图三四', '图三五', '彩图129~140'] | ['图版贰:1', '图二三:1', '图二四']"", ""category_level1"": ""琮筒类 (Cong/Tube)"", ""dimensions"": ""通高9.8~9.9厘米，上射径8.37~8.42、下射径8.27~8.37厘米，孔外径上6.6、孔外径下为6.4厘米，孔内径5.8厘米"", ""height"": 9.85, ""cutting_technique"": ""凸块缘侧部位切割"", ""location_unit"": ""未提及"", ""carving_technique"": ""浅浮雕、细线刻"", ""excavation_location"": ""反山遗址 M12"", ""hole_diameter"": 5.8, ""decoration_theme"": ""神人兽面纹"", ""ex_unit"": ""M12"", ""jade_type"": ""透闪石软玉"", ""surface_condition"": ""未提及"", ""craft_unit"": ""切割与成型、钻孔技术、雕刻技法"", ""excavation_activity"": ""反山遗址发掘"", ""artifact_code"": ""M12:97"", ""ex_layer"": ""未提及"", ""function"": ""宗教礼仪"", ""jade_color"": ""南瓜黄"", ""category_level3"": ""三节"", ""jade_quality"": ""未提及"", ""decoration_unit"": ""神人神兽纹饰单元"", ""length"": 0, ""production_period"": ""良渚文化"", ""production_activity"": ""未提及"", ""maker"": ""未提及"", ""overall_description"": ""矮方柱体，壁薄孔大，俯视如玉镯形"", ""category_level2"": ""玉琮"", ""drilling_technique"": ""未提及"", ""diameter"": 8.37, ""usage"": ""祭祀或象征权力"", ""thickness"": 0, ""ex_region"": ""反山""}",{},0.8,2025-12-01 20:55:06,2025-12-02 01:08:37
3,task_20251202_024347_4869,1,,,M12:81,佩饰类,冠状器,,M12位于T3，墓向188°，为长方形竖穴土坑墓,反山,M12,,M12,透闪石软玉,南瓜黄,光泽感好,,,冠状类,,冠顶朝南，中部断裂，短榫内收，榫部对钻有五孔,,,,切割与成型、钻孔技术,顶端较宽的宝盖头结构切割,对钻椭圆形孔,,素面,,通高3.1、宽6.65、最厚0.45厘米,"{""length"": null, ""width"": 6.65, ""thickness"": 0.45, ""height"": 3.1, ""diameter"": null, ""hole_diameter"": null, ""weight"": null}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,冠帽饰件,装饰,,,0,,[0],"{""artifact_code"": ""M12:81"", ""category_level1"": ""佩饰类"", ""category_level2"": ""冠状器"", ""category_level3"": """", ""jade_type"": ""透闪石软玉"", ""jade_color"": ""南瓜黄"", ""jade_quality"": ""光泽感好"", ""dimensions"": ""通高3.1、宽6.65、最厚0.45厘米"", ""measurements"": {""length"": null, ""width"": 6.65, ""thickness"": 0.45, ""height"": 3.1, ""diameter"": null, ""hole_diameter"": null, ""weight"": null}, ""craft_unit"": ""切割与成型、钻孔技术"", ""cutting_technique"": ""顶端较宽的宝盖头结构切割"", ""drilling_technique"": ""对钻椭圆形孔"", ""carving_technique"": """", ""decoration_craft"": ""素面"", ""decoration_unit"": """", ""decoration_theme"": """", ""function"": ""冠帽饰件"", ""usage"": ""装饰"", ""excavation_location"": ""M12位于T3，墓向188°，为长方形竖穴土坑墓"", ""ex_region"": ""反山"", ""ex_unit"": ""M12"", ""ex_layer"": """", ""location_unit"": """", ""image_references"": [""图一二"", ""彩图39""], ""shape_unit"": ""冠状类"", ""surface_condition"": """", ""production_activity"": """", ""maker"": """", ""production_period"": """", ""production_location"": """", ""excavation_activity"": """", ""overall_description"": ""冠顶朝南，中部断裂，短榫内收，榫部对钻有五孔""}",{},0.8,2025-12-01 20:55:06,2025-12-02 01:08:37
4,task_20251202_024347_4869,1,,,M12:82,佩饰类,特殊长管,,M12位于T3，墓向188°，为长方形竖穴土坑墓,反山,M12,,M12,透闪石软玉,南瓜黄,微沁蚀,,微沁蚀,长管类,,整器呈横截面为弧边长方形的柱形，弦纹以上下两组为一个单元，共八个单元，弦纹刻划得较细，在总宽不到3毫米的一组弦纹中刻划的线条多达10条，弦纹转角处基本相接,几何纹饰单元,弦纹,,雕刻技法,,,弦纹刻划,弦纹,,通高7.7、横截面约0.78~0.93厘米，孔径上0.5、孔径下0.4厘米,"{""length"": null, ""width"": null, ""thickness"": null, ""height"": 7.7, ""diameter"": null, ""hole_diameter"": 0.5, ""weight"": null}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,佩饰,装饰,,,0,,[0],"{""artifact_code"": ""M12:82"", ""category_level1"": ""佩饰类"", ""category_level2"": ""特殊长管"", ""category_level3"": """", ""jade_type"": ""透闪石软玉"", ""jade_color"": ""南瓜黄"", ""jade_quality"": ""微沁蚀"", ""dimensions"": ""通高7.7、横截面约0.78~0.93厘米，孔径上0.5、孔径下0.4厘米"", ""measurements"": {""length"": null, ""width"": null, ""thickness"": null, ""height"": 7.7, ""diameter"": null, ""hole_diameter"": 0.5, ""weight"": null}, ""craft_unit"": ""雕刻技法"", ""cutting_technique"": """", ""drilling_technique"": """", ""carving_technique"": ""弦纹刻划"", ""decoration_craft"": ""弦纹"", ""decoration_unit"": ""几何纹饰单元"", ""decoration_theme"": ""弦纹"", ""function"": ""佩饰"", ""usage"": ""装饰"", ""excavation_location"": ""M12位于T3，墓向188°，为长方形竖穴土坑墓"", ""ex_region"": ""反山"", ""ex_unit"": ""M12"", ""ex_layer"": """", ""location_unit"": """", ""image_references"": [""图一二"", ""彩图40""], ""shape_unit"": ""长管类"", ""surface_condition"": ""微沁蚀"", ""production_activity"": """", ""maker"": """", ""production_period"": """", ""production_location"": """", ""excavation_activity"": """", ""overall_description"": ""整器呈横截面为弧边长方形的柱形，弦纹以上下两组为一个单元，共八个单元，弦纹刻划得较细，在总宽不到3毫米的一组弦纹中刻划的线条多达10条，弦纹转角处基本相接""}",{},0.8,2025-12-01 20:55:06,2025-12-02 01:08:37
5,task_20251202_024347_4869,1,,,M12:83,佩饰类,三叉形器,三叉形冠饰,M12位于T3，墓向188°，为长方形竖穴土坑墓,反山,M12,,M12,透闪石软玉,白色，南瓜黄,光泽感好,,,三叉形器类,,下端贯孔的两侧各钻一小浅卯孔，卯孔深0.35~0.55厘米，中叉对钻贯孔内径0.4~0.45厘米，两叉上端各钻一小孔，钻孔呈“十”字状的椭圆形 | 下端圆弧，上端分叉为三，中间的一叉较短，并有一上下贯通的小孔,光素无纹,无,,双面钻孔准确，未留任何痕迹,,对钻贯孔，钻法为先两孔并列对钻，然后再于两孔之间对钻大孔,,,,通高3.4、宽6.36、最厚0.66厘米,"{'length': None, 'width': 6.36, 'thickness': 0.66, 'height': 3.4, 'diameter': None, 'hole_diameter': 0.4, 'weight': None} | 宽6.3厘米，通高3.4厘米，最厚0.6厘米",,6.3,0.6,3.4,,,,,,,,,冠帽上的饰件,插在冠帽上,,,0,,[0],"{""weight"": null, ""measurements"": ""{'length': None, 'width': 6.36, 'thickness': 0.66, 'height': 3.4, 'diameter': None, 'hole_diameter': 0.4, 'weight': None} | 宽6.3厘米，通高3.4厘米，最厚0.6厘米"", ""decoration_craft"": """", ""production_location"": """", ""width"": 6.3, ""image_references"": ""['图一二', '彩图41'] | ['图三八', '图四五:1']"", ""category_level1"": ""佩饰类"", ""shape_unit"": ""三叉形器类"", ""dimensions"": ""通高3.4、宽6.36、最厚0.66厘米"", ""cutting_technique"": """", ""location_unit"": """", ""height"": 3.4, ""carving_technique"": """", ""excavation_location"": ""M12位于T3，墓向188°，为长方形竖穴土坑墓"", ""hole_diameter"": null, ""decoration_theme"": ""无"", ""ex_unit"": ""M12"", ""jade_type"": ""透闪石软玉"", ""surface_condition"": """", ""craft_unit"": ""双面钻孔准确，未留任何痕迹"", ""excavation_activity"": """", ""artifact_code"": ""M12:83"", ""ex_layer"": """", ""function"": ""冠帽上的饰件"", ""jade_color"": ""白色，南瓜黄"", ""category_level3"": ""三叉形冠饰"", ""jade_quality"": ""光泽感好"", ""diameter"": null, ""decoration_unit"": ""光素无纹"", ""production_period"": """", ""length"": null, ""production_activity"": """", ""maker"": """", ""overall_description"": ""下端贯孔的两侧各钻一小浅卯孔，卯孔深0.35~0.55厘米，中叉对钻贯孔内径0.4~0.45厘米，两叉上端各钻一小孔，钻孔呈“十”字状的椭圆形 | 下端圆弧，上端分叉为三，中间的一叉较短，并有一上下贯通的小孔"", ""category_level2"": ""三叉形器"", ""drilling_technique"": ""对钻贯孔，钻法为先两孔并列对钻，然后再于两孔之间对钻大孔"", ""usage"": ""插在冠帽上"", ""thickness"": 0.6, ""ex_region"": ""反山""}",{},0.8,2025-12-01 20:55:06,2025-12-02 01:08:37
6,task_20251202_024347_4869,1,,,M12:77,佩饰类,半圆形饰,,M12位于T3，墓向188°，为长方形竖穴土坑墓,反山,M12,,M12,透闪石软玉,浅蓝色，夹白斑,沁蚀,,沁蚀,半圆形饰类,,呈半圆形，正面弧凸，背面弧凹，正面以浅浮雕（减地）和线刻雕琢神人兽面纹，背面钻有近似等腰分布的三对隧孔，隧孔方向并不一致,神人神兽纹饰单元,神人兽面纹,,雕刻技法、装饰工艺,,,浅浮雕（减地）和线刻,神人兽面纹,,高3.5、宽5.8、厚0.5厘米,"{""length"": null, ""width"": 5.8, ""thickness"": 0.5, ""height"": 3.5, ""diameter"": null, ""hole_diameter"": null, ""weight"": null}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,冠帽饰件,装饰,,,0,,[0],"{""artifact_code"": ""M12:77"", ""category_level1"": ""佩饰类"", ""category_level2"": ""半圆形饰"", ""category_level3"": """", ""jade_type"": ""透闪石软玉"", ""jade_color"": ""浅蓝色，夹白斑"", ""jade_quality"": ""沁蚀"", ""dimensions"": ""高3.5、宽5.8、厚0.5厘米"", ""measurements"": {""length"": null, ""width"": 5.8, ""thickness"": 0.5, ""height"": 3.5, ""diameter"": null, ""hole_diameter"": null, ""weight"": null}, ""craft_unit"": ""雕刻技法、装饰工艺"", ""cutting_technique"": """", ""drilling_technique"": """", ""carving_technique"": ""浅浮雕（减地）和线刻"", ""decoration_craft"": ""神人兽面纹"", ""decoration_unit"": ""神人神兽纹饰单元"", ""decoration_theme"": ""神人兽面纹"", ""function"": ""冠帽饰件"", ""usage"": ""装饰"", ""excavation_location"": ""M12位于T3，墓向188°，为长方形竖穴土坑墓"", ""ex_region"": ""反山"", ""ex_unit"": ""M12"", ""ex_layer"": """", ""location_unit"": """", ""image_references"": [""图一三"", ""图一四"", ""彩图42"", ""彩图43""], ""shape_unit"": ""半圆形饰类"", ""surface_condition"": ""沁蚀"", ""production_activity"": """", ""maker"": """", ""production_period"": """", ""production_location"": """", ""excavation_activity"": """", ""overall_description"": ""呈半圆形，正面弧凸，背面弧凹，正面以浅浮雕（减地）和线刻雕琢神人兽面纹，背面钻有近似等腰分布的三对隧孔，隧孔方向并不一致""}",{},0.8,2025-12-01 20:55:06,2025-12-02 01:08:37
7,task_20251202_024347_4869,1,,,M12:78,佩饰类,半圆形饰,,M12位于T3，墓向188°，为长方形竖穴土坑墓,反山,M12,,M12,透闪石软玉,南瓜黄,局部沁蚀,,局部沁蚀,半圆形饰类,,呈半圆形，正面弧凸，背面弧凹，正面以浅浮雕（减地）和线刻雕琢神人兽面纹，背面钻有近似等腰分布的三对隧孔，隧孔方向并不一致,神人神兽纹饰单元,神人兽面纹,,雕刻技法、装饰工艺,,,浅浮雕（减地）和线刻,神人兽面纹,,高3.5、宽5.9、厚0.5厘米,"{""length"": null, ""width"": 5.9, ""thickness"": 0.5, ""height"": 3.5, ""diameter"": null, ""hole_diameter"": null, ""weight"": null}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,冠帽饰件,装饰,,,0,,[0],"{""artifact_code"": ""M12:78"", ""category_level1"": ""佩饰类"", ""category_level2"": ""半圆形饰"", ""category_level3"": """", ""jade_type"": ""透闪石软玉"", ""jade_color"": ""南瓜黄"", ""jade_quality"": ""局部沁蚀"", ""dimensions"": ""高3.5、宽5.9、厚0.5厘米"", ""measurements"": {""length"": null, ""width"": 5.9, ""thickness"": 0.5, ""height"": 3.5, ""diameter"": null, ""hole_diameter"": null, ""weight"": null}, ""craft_unit"": ""雕刻技法、装饰工艺"", ""cutting_technique"": """", ""drilling_technique"": """", ""carving_technique"": ""浅浮雕（减地）和线刻"", ""decoration_craft"": ""神人兽面纹"", ""decoration_unit"": ""神人神兽纹饰单元"", ""decoration_theme"": ""神人兽面纹"", ""function"": ""冠帽饰件"", ""usage"": ""装饰"", ""excavation_location"": ""M12位于T3，墓向188°，为长方形竖穴土坑墓"", ""ex_region"": ""反山"", ""ex_unit"": ""M12"", ""ex_layer"": """", ""location_unit"": """", ""image_references"": [""图一三"", ""图一四"", ""彩图44"", ""彩图45""], ""shape_unit"": ""半圆形饰类"", ""surface_condition"": ""局部沁蚀"", ""production_activity"": """", ""maker"": """", ""production_period"": """", ""production_location"": """", ""excavation_activity"": """", ""overall_description"": ""呈半圆形，正面弧凸，背面弧凹，正面以浅浮雕（减地）和线刻雕琢神人兽面纹，背面钻有近似等腰分布的三对隧孔，隧孔方向并不一致""}",{},0.8,2025-12-01 20:55:06,2025-12-02 01:08:37
8,task_20251202_024347_4869,1,,,M12:79,佩饰类,半圆形饰,,M12位于T3，墓向188°，为长方形竖穴土坑墓,反山,M12,,M12,透闪石软玉,南瓜黄，夹浅蓝色斑,,,,半圆形饰类,,呈半圆形，正面弧凸，背面弧凹，正面以浅浮雕（减地）和线刻雕琢神人兽面纹，背面钻有近似等腰分布的三对隧孔，隧孔方向并不一致，半圆一侧留有片切割痕迹，背面留有横向的线切割痕迹,神人神兽纹饰单元,神人兽面纹,,切割与成型、雕刻技法、装饰工艺,片切割痕迹，线切割痕迹,,浅浮雕（减地）和线刻,神人兽面纹,,高3.45、宽5.8、厚0.46厘米,"{""length"": null, ""width"": 5.8, ""thickness"": 0.46, ""height"": 3.45, ""diameter"": null, ""hole_diameter"": null, ""weight"": null}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,冠帽饰件,装饰,,,0,,[0],"{""artifact_code"": ""M12:79"", ""category_level1"": ""佩饰类"", ""category_level2"": ""半圆形饰"", ""category_level3"": """", ""jade_type"": ""透闪石软玉"", ""jade_color"": ""南瓜黄，夹浅蓝色斑"", ""jade_quality"": """", ""dimensions"": ""高3.45、宽5.8、厚0.46厘米"", ""measurements"": {""length"": null, ""width"": 5.8, ""thickness"": 0.46, ""height"": 3.45, ""diameter"": null, ""hole_diameter"": null, ""weight"": null}, ""craft_unit"": ""切割与成型、雕刻技法、装饰工艺"", ""cutting_technique"": ""片切割痕迹，线切割痕迹"", ""drilling_technique"": """", ""carving_technique"": ""浅浮雕（减地）和线刻"", ""decoration_craft"": ""神人兽面纹"", ""decoration_unit"": ""神人神兽纹饰单元"", ""decoration_theme"": ""神人兽面纹"", ""function"": ""冠帽饰件"", ""usage"": ""装饰"", ""excavation_location"": ""M12位于T3，墓向188°，为长方形竖穴土坑墓"", ""ex_region"": ""反山"", ""ex_unit"": ""M12"", ""ex_layer"": """", ""location_unit"": """", ""image_references"": [""图一三"", ""图一四"", ""彩图46"", ""彩图47""], ""shape_unit"": ""半圆形饰类"", ""surface_condition"": """", ""production_activity"": """", ""maker"": """", ""production_period"": """", ""production_location"": """", ""excavation_activity"": """", ""overall_description"": ""呈半圆形，正面弧凸，背面弧凹，正面以浅浮雕（减地）和线刻雕琢神人兽面纹，背面钻有近似等腰分布的三对隧孔，隧孔方向并不一致，半圆一侧留有片切割痕迹，背面留有横向的线切割痕迹""}",{},0.8,2025-12-01 20:55:06,2025-12-02 01:08:37
9,task_20251202_024347_4869,1,,,M12:85,佩饰类,半圆形饰,半圆形冠饰,M12位于T3，墓向188°，为长方形竖穴土坑墓,反山墓地,M12,,M12,透闪石软玉,南瓜黄,有深绿色斑点,,局部沁蚀,半圆形饰类,,呈半圆形，正面弧凸，背面弧凹，正面以浅浮雕（减地）和线刻雕琢神人兽面纹，背面钻有近似等腰分布的三对隧孔，隧孔方向并不一致，背面留有磨痕及线切割痕迹 | 正面微弧凸，半圆边缘略薄；背面相应内弧凹。斜向对钻出3对隧孔 | ,神人神兽纹饰单元,兽面纹各部位以浅浮雕凸起，重圈为眼，椭圆形眼睑，冠顶与双眼紧贴，眉心作云雷纹，宽鼻，阔嘴,,切割与成型、雕刻技法、装饰工艺,磨痕及线切割痕迹,,浅浮雕（减地）和线刻,神人兽面纹,,底宽5.8、通高3.5、厚0.3厘米,"{'length': None, 'width': 5.9, 'thickness': 0.65, 'height': 3.4, 'diameter': None, 'hole_diameter': None, 'weight': None} | {'width': 5.8, 'height': 3.5, 'thickness': 0.3} | ",,,,,,,,,,,,反山墓地发掘,冠帽饰件,穿缀在冠帽上,,,0,,[0],"{""weight"": null, ""measurements"": ""{'length': None, 'width': 5.9, 'thickness': 0.65, 'height': 3.4, 'diameter': None, 'hole_diameter': None, 'weight': None} | {'width': 5.8, 'height': 3.5, 'thickness': 0.3} | "", ""decoration_craft"": ""神人兽面纹"", ""production_location"": """", ""width"": null, ""image_references"": ""['图一三', '图一四', '彩图48', '彩图49'] | ['图版贰：6', '图四五：4', '图四八'] | []"", ""category_level1"": ""佩饰类"", ""shape_unit"": ""半圆形饰类"", ""dimensions"": ""底宽5.8、通高3.5、厚0.3厘米"", ""cutting_technique"": ""磨痕及线切割痕迹"", ""location_unit"": """", ""height"": null, ""carving_technique"": ""浅浮雕（减地）和线刻"", ""excavation_location"": ""M12位于T3，墓向188°，为长方形竖穴土坑墓"", ""hole_diameter"": null, ""function_detail"": ""装饰用器"", ""decoration_theme"": ""兽面纹各部位以浅浮雕凸起，重圈为眼，椭圆形眼睑，冠顶与双眼紧贴，眉心作云雷纹，宽鼻，阔嘴"", ""ex_unit"": ""M12"", ""jade_type"": ""透闪石软玉"", ""surface_condition"": ""局部沁蚀"", ""craft_unit"": ""切割与成型、雕刻技法、装饰工艺"", ""excavation_activity"": ""反山墓地发掘"", ""artifact_code"": ""M12:85"", ""ex_layer"": """", ""function"": ""冠帽饰件"", ""jade_color"": ""南瓜黄"", ""category_level3"": ""半圆形冠饰"", ""jade_quality"": ""有深绿色斑点"", ""diameter"": null, ""decoration_unit"": ""神人神兽纹饰单元"", ""production_period"": ""良渚中期偏早，距今约5000~4800年"", ""length"": null, ""production_activity"": """", ""maker"": """", ""overall_description"": ""呈半圆形，正面弧凸，背面弧凹，正面以浅浮雕（减地）和线刻雕琢神人兽面纹，背面钻有近似等腰分布的三对隧孔，隧孔方向并不一致，背面留有磨痕及线切割痕迹 | 正面微弧凸，半圆边缘略薄；背面相应内弧凹。斜向对钻出3对隧孔 | "", ""category_level2"": ""半圆形饰"", ""drilling_technique"": """", ""usage"": ""穿缀在冠帽上"", ""thickness"": null, ""ex_region"": ""反山墓地""}",{},0.8,2025-12-01 20:55:06,2025-12-02 01:08:37
10,task_20251202_024347_4869,1,,,M12:74-1,佩饰类,锥形器,,M12位于T3，墓向188°，为长方形竖穴土坑墓,反山,M12,,M12,透闪石软玉,南瓜黄,沁蚀,,沁蚀,锥形器类,,端部出榫，且对钻小孔，横截面为近圆形,,,,钻孔技术,,对钻小孔,,,,长7.6、直径0.8厘米,"{'length': 7.6, 'width': None, 'thickness': None, 'height': None, 'diameter': 0.8, 'hole_diameter': None, 'weight': None} | 长7.6厘米，直径0.8厘米",7.6,,,,0.8,,,,,,,,佩饰,装饰,,,0,,[0],"{""weight"": null, ""measurements"": ""{'length': 7.6, 'width': None, 'thickness': None, 'height': None, 'diameter': 0.8, 'hole_diameter': None, 'weight': None} | 长7.6厘米，直径0.8厘米"", ""decoration_craft"": """", ""production_location"": """", ""width"": null, ""image_references"": [""图一五"", ""彩图50""], ""category_level1"": ""佩饰类"", ""shape_unit"": ""锥形器类"", ""dimensions"": ""长7.6、直径0.8厘米"", ""cutting_technique"": """", ""location_unit"": """", ""height"": null, ""carving_technique"": """", ""excavation_location"": ""M12位于T3，墓向188°，为长方形竖穴土坑墓"", ""hole_diameter"": null, ""decoration_theme"": """", ""ex_unit"": ""M12"", ""jade_type"": ""透闪石软玉"", ""surface_condition"": ""沁蚀"", ""craft_unit"": ""钻孔技术"", ""excavation_activity"": """", ""artifact_code"": ""M12:74-1"", ""ex_layer"": """", ""function"": ""佩饰"", ""jade_color"": ""南瓜黄"", ""category_level3"": """", ""jade_quality"": ""沁蚀"", ""diameter"": 0.8, ""decoration_unit"": """", ""production_period"": """", ""length"": 7.6, ""production_activity"": """", ""maker"": """", ""overall_description"": ""端部出榫，且对钻小孔，横截面为近圆形"", ""category_level2"": ""锥形器"", ""drilling_technique"": ""对钻小孔"", ""usage"": ""装饰"", ""thickness"": null, ""ex_region"": ""反山""}",{},0.8,2025-12-01 20:55:06,2025-12-02 01:08:37
