ID,task_id,site_id,period_id,structure_id,文物编号,器型,subtype_level1,subtype_level2,subtype_level3,basic_shape,原始出土地点,出土区域,出土单位,出土层位,出土墓葬,陶土类型,纯洁度,细腻度,掺杂物,颜色,硬度,烧成温度,器型特征,器物组合,尺寸描述,量度信息,高度(cm),口径(cm),厚度(cm),功能,成型工艺,修整技术,surface_treatment,装饰手法,纹饰类型,制作活动,制作者,制作年代,制作地点,excavation_activity,保存状况,完整程度,有图片,main_image_id,source_text_blocks,raw_attributes,cidoc_attributes,extraction_confidence,created_at,updated_at
1,task_20251202_024347_4869,1,,,M15:42,豆,,,,豆,M15,反山,M15,,M15,泥质褐胎黑皮陶,,,,褐胎黑皮,,,敞口，浅盘，腹壁较直，腹外壁有一周较宽的凸起，喇叭形圈足 | 口沿略向外翻卷，浅盘，腹底向内折收，交接处均有一周凹棱；喇叭形大圈足较粗，中段有一组或二组凸弦纹，弦纹之间等距饰三个或四个扁方形小镂孔,,口径21.2、高11、圈足径16.6厘米,,11.3,21.2,,,,,,,,,,,,,,,0,,[0],"{""clay_purity"": null, ""production_location"": null, ""firing_temperature"": null, ""ex_region"": ""反山"", ""subtype"": ""豆"", ""image_references"": ""[] | ['图一二〇', '彩图582'] | ['图八:5']"", ""dimensions"": ""口径21.2、高11、圈足径16.6厘米"", ""height"": 11.3, ""location_unit"": null, ""excavation_location"": ""M15"", ""decoration_method"": null, ""production_date"": null, ""surface_treatment"": null, ""clay_type"": ""泥质褐胎黑皮陶"", ""ex_unit"": ""M15"", ""forming_technique"": null, ""finishing_technique"": null, ""decoration_type"": null, ""artifact_code"": ""M15:42"", ""ex_layer"": null, ""function"": null, ""clay_fineness"": null, ""color"": ""褐胎黑皮"", ""vessel_combination"": null, ""shape_features"": ""敞口，浅盘，腹壁较直，腹外壁有一周较宽的凸起，喇叭形圈足 | 口沿略向外翻卷，浅盘，腹底向内折收，交接处均有一周凹棱；喇叭形大圈足较粗，中段有一组或二组凸弦纹，弦纹之间等距饰三个或四个扁方形小镂孔"", ""hardness"": null, ""production_activity"": null, ""maker"": null, ""diameter"": 21.2, ""thickness"": null, ""mixed_materials"": null}",{},0.8,2025-12-01 18:52:00,2025-12-01 19:24:48
2,task_20251202_024347_4869,1,,,M18:28,豆,,,,,反山十二号墓,反山,M18,,M18,泥质褐胎黑皮陶,,,,,,,敞口，浅盘，折腹，大喇叭形圈足，腹与盘底相接处有一周凹弦纹，圈足上有两组凸弦纹，其间相杂3个长方形镂孔 | 口沿略向外翻卷，浅盘，腹底向内折收，交接处均有一周凹棱；喇叭形大圈足较粗，中段有一组或二组凸弦纹，弦纹之间等距饰六个镂孔，错位分列两道弦纹之间,,口径20.4、高13.7、圈足径15.2厘米,,13.7,20.4,,,,,,,凹弦纹、凸弦纹、长方形镂孔,,,,,,,,0,,[0],"{""clay_purity"": null, ""production_location"": null, ""firing_temperature"": null, ""ex_region"": ""反山"", ""subtype"": ""豆"", ""image_references"": ""['图一七一'] | ['图一七一', '彩图777'] | ['图五'] | ['图八:7']"", ""dimensions"": ""口径20.4、高13.7、圈足径15.2厘米"", ""height"": 13.7, ""location_unit"": null, ""excavation_location"": ""反山十二号墓"", ""decoration_method"": null, ""production_date"": null, ""surface_treatment"": null, ""clay_type"": ""泥质褐胎黑皮陶"", ""ex_unit"": ""M18"", ""forming_technique"": null, ""finishing_technique"": null, ""decoration_type"": ""凹弦纹、凸弦纹、长方形镂孔"", ""artifact_code"": ""M18:28"", ""ex_layer"": null, ""function"": null, ""clay_fineness"": null, ""color"": null, ""vessel_combination"": null, ""shape_features"": ""敞口，浅盘，折腹，大喇叭形圈足，腹与盘底相接处有一周凹弦纹，圈足上有两组凸弦纹，其间相杂3个长方形镂孔 | 口沿略向外翻卷，浅盘，腹底向内折收，交接处均有一周凹棱；喇叭形大圈足较粗，中段有一组或二组凸弦纹，弦纹之间等距饰六个镂孔，错位分列两道弦纹之间"", ""hardness"": null, ""production_activity"": null, ""maker"": null, ""diameter"": 20.4, ""thickness"": null, ""mixed_materials"": null}",{},0.8,2025-12-01 18:52:00,2025-12-01 19:24:49
3,task_20251202_024347_4869,1,,,M20：201,鼎,,,,,M20,反山,M20,,十二号墓,夹砂褐胎黑皮陶,,,,褐胎黑皮,,,侈口，鼓腹，三个扁侧足,,通高约18.5、口径约14.3厘米,,18.5,14.3,,,,,,刻划,竖向的线条,,,,,,,,0,,[0],"{""artifact_code"": ""M20：201"", ""subtype"": ""鼎"", ""clay_type"": ""夹砂褐胎黑皮陶"", ""clay_purity"": null, ""clay_fineness"": null, ""mixed_materials"": null, ""color"": ""褐胎黑皮"", ""hardness"": null, ""firing_temperature"": null, ""shape_features"": ""侈口，鼓腹，三个扁侧足"", ""vessel_combination"": null, ""dimensions"": ""通高约18.5、口径约14.3厘米"", ""height"": 18.5, ""diameter"": 14.3, ""thickness"": null, ""function"": null, ""forming_technique"": null, ""finishing_technique"": null, ""surface_treatment"": null, ""decoration_method"": ""刻划"", ""decoration_type"": ""竖向的线条"", ""production_activity"": null, ""maker"": null, ""production_date"": null, ""production_location"": null, ""excavation_location"": ""M20"", ""ex_region"": ""反山"", ""ex_unit"": ""M20"", ""ex_layer"": null, ""location_unit"": null, ""image_references"": [""图二二五"", ""彩图969""]}",{},0.8,2025-12-01 18:52:00,2025-12-01 19:24:49
4,task_20251202_024347_4869,1,,,M20：200,罐,,,,,M20,反山,M20,,十二号墓,夹砂灰胎黑皮陶,,,,灰胎黑皮,,,敞口，溜肩，鼓腹，矮圈足略外撇,,通高18.5、口径14.4厘米,,18.5,14.4,,,,,,,,,,,,,,,0,,[0],"{""artifact_code"": ""M20：200"", ""subtype"": ""罐"", ""clay_type"": ""夹砂灰胎黑皮陶"", ""clay_purity"": null, ""clay_fineness"": null, ""mixed_materials"": null, ""color"": ""灰胎黑皮"", ""hardness"": null, ""firing_temperature"": null, ""shape_features"": ""敞口，溜肩，鼓腹，矮圈足略外撇"", ""vessel_combination"": null, ""dimensions"": ""通高18.5、口径14.4厘米"", ""height"": 18.5, ""diameter"": 14.4, ""thickness"": null, ""function"": null, ""forming_technique"": null, ""finishing_technique"": null, ""surface_treatment"": null, ""decoration_method"": null, ""decoration_type"": null, ""production_activity"": null, ""maker"": null, ""production_date"": null, ""production_location"": null, ""excavation_location"": ""M20"", ""ex_region"": ""反山"", ""ex_unit"": ""M20"", ""ex_layer"": null, ""location_unit"": null, ""image_references"": [""图二二五"", ""彩图971""]}",{},0.8,2025-12-01 18:52:00,2025-12-01 19:24:49
5,task_20251202_024347_4869,1,,,M22：66,鼎,,,,,反山M22,反山,M22,,全文,,,,,,,,,陶甑鼎,,,,,,,,,,,,,,,,,,,0,,[0],"{""artifact_code"": ""M22：66"", ""subtype"": ""鼎"", ""clay_type"": null, ""clay_purity"": null, ""clay_fineness"": null, ""mixed_materials"": null, ""color"": null, ""hardness"": null, ""firing_temperature"": null, ""shape_features"": null, ""vessel_combination"": ""陶甑鼎"", ""dimensions"": null, ""height"": null, ""diameter"": null, ""thickness"": null, ""function"": null, ""forming_technique"": null, ""finishing_technique"": null, ""surface_treatment"": null, ""decoration_method"": null, ""decoration_type"": null, ""production_activity"": null, ""maker"": null, ""production_date"": null, ""production_location"": null, ""excavation_location"": ""反山M22"", ""ex_region"": ""反山"", ""ex_unit"": ""M22"", ""ex_layer"": null, ""location_unit"": null, ""image_references"": [""彩图1072"", ""彩图1073""]}",{},0.8,2025-12-01 18:52:00,2025-12-01 18:52:00
6,task_20251202_024347_4869,1,,,M22：65,甑,,,,,反山M22,反山,M22,,全文,,,,,,,,,陶甑鼎,,,,,,,,,,,,,,,,,,,0,,[0],"{""artifact_code"": ""M22：65"", ""subtype"": ""甑"", ""clay_type"": null, ""clay_purity"": null, ""clay_fineness"": null, ""mixed_materials"": null, ""color"": null, ""hardness"": null, ""firing_temperature"": null, ""shape_features"": null, ""vessel_combination"": ""陶甑鼎"", ""dimensions"": null, ""height"": null, ""diameter"": null, ""thickness"": null, ""function"": null, ""forming_technique"": null, ""finishing_technique"": null, ""surface_treatment"": null, ""decoration_method"": null, ""decoration_type"": null, ""production_activity"": null, ""maker"": null, ""production_date"": null, ""production_location"": null, ""excavation_location"": ""反山M22"", ""ex_region"": ""反山"", ""ex_unit"": ""M22"", ""ex_layer"": null, ""location_unit"": null, ""image_references"": [""彩图1072"", ""彩图1073""]}",{},0.8,2025-12-01 18:52:00,2025-12-01 18:52:00
7,task_20251202_024347_4869,1,,,M22：61,豆,,,,,反山M22,反山,M22,,全文,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,[0],"{""artifact_code"": ""M22：61"", ""subtype"": ""豆"", ""clay_type"": null, ""clay_purity"": null, ""clay_fineness"": null, ""mixed_materials"": null, ""color"": null, ""hardness"": null, ""firing_temperature"": null, ""shape_features"": null, ""vessel_combination"": null, ""dimensions"": null, ""height"": null, ""diameter"": null, ""thickness"": null, ""function"": null, ""forming_technique"": null, ""finishing_technique"": null, ""surface_treatment"": null, ""decoration_method"": null, ""decoration_type"": null, ""production_activity"": null, ""maker"": null, ""production_date"": null, ""production_location"": null, ""excavation_location"": ""反山M22"", ""ex_region"": ""反山"", ""ex_unit"": ""M22"", ""ex_layer"": null, ""location_unit"": null, ""image_references"": [""彩图1074""]}",{},0.8,2025-12-01 18:52:00,2025-12-01 18:52:00
8,task_20251202_024347_4869,1,,,M22:66,鼎,,,,,反山十二号墓,反山,M22,,M22,夹砂红胎黑皮陶,,,,红胎黑皮,,,敞口，鼓腹，圜底，鱼鳍形足 | 敞口，圆唇，鼓腹，圜底,甑鼎组合,通高约16、口径14.5厘米,,16.0,14.5,,炊煮,,抹光,,刻划,竖向线条,,,,,,,,0,,[0],"{""clay_purity"": null, ""production_location"": null, ""firing_temperature"": null, ""ex_region"": ""反山"", ""subtype"": ""鼎"", ""image_references"": ""['图二四一', '彩图1072', '彩图1073'] | ['图八:2']"", ""dimensions"": ""通高约16、口径14.5厘米"", ""height"": 16, ""location_unit"": null, ""excavation_location"": ""反山十二号墓"", ""decoration_method"": ""刻划"", ""production_date"": null, ""surface_treatment"": null, ""clay_type"": ""夹砂红胎黑皮陶"", ""ex_unit"": ""M22"", ""forming_technique"": null, ""finishing_technique"": ""抹光"", ""decoration_type"": ""竖向线条"", ""artifact_code"": ""M22:66"", ""ex_layer"": null, ""function"": ""炊煮"", ""clay_fineness"": null, ""color"": ""红胎黑皮"", ""vessel_combination"": ""甑鼎组合"", ""shape_features"": ""敞口，鼓腹，圜底，鱼鳍形足 | 敞口，圆唇，鼓腹，圜底"", ""hardness"": null, ""production_activity"": null, ""maker"": null, ""diameter"": 14.5, ""thickness"": null, ""mixed_materials"": null}",{},0.8,2025-12-01 18:52:00,2025-12-01 19:24:49
9,task_20251202_024347_4869,1,,,M22:65,甑,,,,,反山十二号墓,反山,M22,,M22,夹砂红胎黑皮陶,,,,红胎黑皮,,,敞口，深腹，腹较直，底部有一不甚圆整的大孔 | 敞口，深腹，腹较直，略外鼓，下腹弧收成平圜底，底部中间有一不甚圆整的大孔,甑鼎组合,通高约9.5、口径约18厘米，甑孔直径约8厘米,,9.5,18.0,,炊煮,,,,,,,,,,,,,0,,[0],"{""clay_purity"": null, ""production_location"": null, ""firing_temperature"": null, ""ex_region"": ""反山"", ""subtype"": ""甑"", ""image_references"": ""['图二四一'] | ['图八:4']"", ""dimensions"": ""通高约9.5、口径约18厘米，甑孔直径约8厘米"", ""height"": 9.5, ""location_unit"": null, ""excavation_location"": ""反山十二号墓"", ""decoration_method"": null, ""production_date"": null, ""surface_treatment"": null, ""clay_type"": ""夹砂红胎黑皮陶"", ""ex_unit"": ""M22"", ""forming_technique"": null, ""finishing_technique"": null, ""decoration_type"": null, ""artifact_code"": ""M22:65"", ""ex_layer"": null, ""function"": ""炊煮"", ""clay_fineness"": null, ""color"": ""红胎黑皮"", ""vessel_combination"": ""甑鼎组合"", ""shape_features"": ""敞口，深腹，腹较直，底部有一不甚圆整的大孔 | 敞口，深腹，腹较直，略外鼓，下腹弧收成平圜底，底部中间有一不甚圆整的大孔"", ""hardness"": null, ""production_activity"": null, ""maker"": null, ""diameter"": 18, ""thickness"": null, ""mixed_materials"": null}",{},0.8,2025-12-01 18:52:00,2025-12-01 19:24:49
10,task_20251202_024347_4869,1,,,M22:61,豆,,,,,反山十二号墓,反山,M22,,M22,泥质灰胎黑皮陶,,,,灰胎黑皮,,,口沿略向外翻卷，浅盘，腹底向内折收，交接处有一周凹棱，喇叭形大圈足，中间有一周凸弦纹，弦纹上有3个等距的长方形镂孔 | 口沿略向外翻卷，浅盘，腹底向内折收，交接处均有一周凹棱；喇叭形大圈足较粗，中段有一组或二组凸弦纹，弦纹之间等距饰三个扁方形小镂孔,,通高约15.5、口径25.6、足径19.2厘米,,15.5,25.6,,礼器,,,涂朱,镂空,长方形镂孔,,,,,,,,0,,[0],"{""clay_purity"": null, ""production_location"": null, ""firing_temperature"": null, ""ex_region"": ""反山"", ""subtype"": ""豆"", ""image_references"": ""['图二四一', '彩图1074'] | ['图八:8']"", ""dimensions"": ""通高约15.5、口径25.6、足径19.2厘米"", ""height"": 15.5, ""location_unit"": null, ""excavation_location"": ""反山十二号墓"", ""decoration_method"": ""镂空"", ""production_date"": null, ""surface_treatment"": ""涂朱"", ""clay_type"": ""泥质灰胎黑皮陶"", ""ex_unit"": ""M22"", ""forming_technique"": null, ""finishing_technique"": null, ""decoration_type"": ""长方形镂孔"", ""artifact_code"": ""M22:61"", ""ex_layer"": null, ""function"": ""礼器"", ""clay_fineness"": null, ""color"": ""灰胎黑皮"", ""vessel_combination"": null, ""shape_features"": ""口沿略向外翻卷，浅盘，腹底向内折收，交接处有一周凹棱，喇叭形大圈足，中间有一周凸弦纹，弦纹上有3个等距的长方形镂孔 | 口沿略向外翻卷，浅盘，腹底向内折收，交接处均有一周凹棱；喇叭形大圈足较粗，中段有一组或二组凸弦纹，弦纹之间等距饰三个扁方形小镂孔"", ""hardness"": null, ""production_activity"": null, ""maker"": null, ""diameter"": 25.6, ""thickness"": null, ""mixed_materials"": null}",{},0.8,2025-12-01 18:52:00,2025-12-01 19:24:49
11,task_20251202_024347_4869,1,,,M23:203,陶甑鼎,,,,,反山十二号墓,反山,M23,,M23,夹砂黑胎黑皮陶,,,砂,黑皮,,,敞口，腹较直，圜底近平，甑底镂一小孔，器外两侧各施一小蠡 | 敞口，圆唇，鼓腹，圜底,,口径10.4、通高10.6厘米,,10.6,11.5,,,,抹光,,,素面,,,,,,,,0,,[0],"{""clay_purity"": null, ""production_location"": null, ""firing_temperature"": null, ""ex_region"": ""反山"", ""subtype"": ""陶甑鼎"", ""image_references"": ""[] | ['图二七八', '彩图1217'] | ['图八:3']"", ""dimensions"": ""口径10.4、通高10.6厘米"", ""height"": 10.6, ""location_unit"": null, ""excavation_location"": ""反山十二号墓"", ""decoration_method"": null, ""production_date"": null, ""surface_treatment"": null, ""clay_type"": ""夹砂黑胎黑皮陶"", ""ex_unit"": ""M23"", ""forming_technique"": null, ""finishing_technique"": ""抹光"", ""decoration_type"": ""素面"", ""artifact_code"": ""M23:203"", ""ex_layer"": null, ""function"": null, ""clay_fineness"": null, ""color"": ""黑皮"", ""vessel_combination"": null, ""shape_features"": ""敞口，腹较直，圜底近平，甑底镂一小孔，器外两侧各施一小蠡 | 敞口，圆唇，鼓腹，圜底"", ""hardness"": null, ""production_activity"": null, ""maker"": null, ""diameter"": 11.5, ""thickness"": null, ""mixed_materials"": ""砂""}",{},0.8,2025-12-01 18:52:00,2025-12-01 19:24:49
