id:ID,:LABEL,value
E39_行为者_Artifact_陶器_170_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_2_制作者,E39_行为者,未提及
E39_行为者_Artifact_玉器_27_制作者,E39_行为者,未提及
E39_行为者_Artifact_玉器_47_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_107_制作者,E39_行为者,未提及
E39_行为者_Artifact_玉器_190_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_191_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_192_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_193_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_194_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_195_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_196_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_197_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_198_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_199_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_200_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_201_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_202_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_203_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_204_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_205_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_206_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_207_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_208_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_209_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_210_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_211_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_212_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_213_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_214_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_215_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_216_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_217_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_218_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_219_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_220_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_221_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_222_制作者,E39_行为者,吴福宝
E39_行为者_Artifact_玉器_223_制作者,E39_行为者,吴福宝
