id:ID,:LABEL,value
E25_ManMadeFeature_Artifact_陶器_1_原始出土地点,E25_ManMadeFeature,M15
E25_ManMadeFeature_Artifact_陶器_2_原始出土地点,E25_ManMadeFeature,反山十二号墓
E25_ManMadeFeature_Artifact_陶器_3_原始出土地点,E25_ManMadeFeature,M20
E25_ManMadeFeature_Artifact_陶器_4_原始出土地点,E25_ManMadeFeature,M20
E25_ManMadeFeature_Artifact_陶器_5_原始出土地点,E25_ManMadeFeature,反山M22
E25_ManMadeFeature_Artifact_陶器_6_原始出土地点,E25_ManMadeFeature,反山M22
E25_ManMadeFeature_Artifact_陶器_7_原始出土地点,E25_ManMadeFeature,反山M22
E25_ManMadeFeature_Artifact_陶器_8_原始出土地点,E25_ManMadeFeature,反山十二号墓
E25_ManMadeFeature_Artifact_陶器_9_原始出土地点,E25_ManMadeFeature,反山十二号墓
E25_ManMadeFeature_Artifact_陶器_10_原始出土地点,E25_ManMadeFeature,反山十二号墓
E25_ManMadeFeature_Artifact_陶器_11_原始出土地点,E25_ManMadeFeature,反山十二号墓
E25_ManMadeFeature_Artifact_陶器_12_原始出土地点,E25_ManMadeFeature,反山十二号墓
E25_ManMadeFeature_Artifact_陶器_13_原始出土地点,E25_ManMadeFeature,反山十二号墓
E25_ManMadeFeature_Artifact_陶器_14_原始出土地点,E25_ManMadeFeature,反山M23
E25_ManMadeFeature_Artifact_陶器_15_原始出土地点,E25_ManMadeFeature,瑶山一号墓
E25_ManMadeFeature_Artifact_陶器_16_原始出土地点,E25_ManMadeFeature,瑶山一号墓
E25_ManMadeFeature_Artifact_陶器_17_原始出土地点,E25_ManMadeFeature,瑶山一号墓
E25_ManMadeFeature_Artifact_陶器_18_原始出土地点,E25_ManMadeFeature,瑶山一号墓
E25_ManMadeFeature_Artifact_陶器_19_原始出土地点,E25_ManMadeFeature,瑶山十二号墓
E25_ManMadeFeature_Artifact_陶器_20_原始出土地点,E25_ManMadeFeature,瑶山二号墓
E25_ManMadeFeature_Artifact_陶器_21_原始出土地点,E25_ManMadeFeature,瑶山二号墓
E25_ManMadeFeature_Artifact_陶器_22_原始出土地点,E25_ManMadeFeature,瑶山二号墓
E25_ManMadeFeature_Artifact_陶器_23_原始出土地点,E25_ManMadeFeature,瑶山三号墓
E25_ManMadeFeature_Artifact_陶器_24_原始出土地点,E25_ManMadeFeature,瑶山三号墓
E25_ManMadeFeature_Artifact_陶器_25_原始出土地点,E25_ManMadeFeature,瑶山三号墓
E25_ManMadeFeature_Artifact_陶器_26_原始出土地点,E25_ManMadeFeature,瑶山三号墓
E25_ManMadeFeature_Artifact_陶器_27_原始出土地点,E25_ManMadeFeature,瑶山十二号墓
E25_ManMadeFeature_Artifact_陶器_28_原始出土地点,E25_ManMadeFeature,瑶山四号墓
E25_ManMadeFeature_Artifact_陶器_29_原始出土地点,E25_ManMadeFeature,瑶山四号墓
E25_ManMadeFeature_Artifact_陶器_30_原始出土地点,E25_ManMadeFeature,瑶山四号墓
E25_ManMadeFeature_Artifact_陶器_31_原始出土地点,E25_ManMadeFeature,瑶山四号墓
E25_ManMadeFeature_Artifact_陶器_32_原始出土地点,E25_ManMadeFeature,瑶山四号墓
E25_ManMadeFeature_Artifact_陶器_33_原始出土地点,E25_ManMadeFeature,瑶山四号墓
E25_ManMadeFeature_Artifact_陶器_34_原始出土地点,E25_ManMadeFeature,瑶山五号墓
E25_ManMadeFeature_Artifact_陶器_35_原始出土地点,E25_ManMadeFeature,瑶山五号墓
E25_ManMadeFeature_Artifact_陶器_36_原始出土地点,E25_ManMadeFeature,瑶山五号墓
E25_ManMadeFeature_Artifact_陶器_37_原始出土地点,E25_ManMadeFeature,瑶山六号墓
E25_ManMadeFeature_Artifact_陶器_38_原始出土地点,E25_ManMadeFeature,瑶山六号墓
E25_ManMadeFeature_Artifact_陶器_39_原始出土地点,E25_ManMadeFeature,瑶山六号墓
E25_ManMadeFeature_Artifact_陶器_40_原始出土地点,E25_ManMadeFeature,瑶山六号墓
E25_ManMadeFeature_Artifact_陶器_41_原始出土地点,E25_ManMadeFeature,瑶山七号墓
E25_ManMadeFeature_Artifact_陶器_42_原始出土地点,E25_ManMadeFeature,瑶山七号墓
E25_ManMadeFeature_Artifact_陶器_43_原始出土地点,E25_ManMadeFeature,瑶山七号墓
E25_ManMadeFeature_Artifact_陶器_44_原始出土地点,E25_ManMadeFeature,瑶山七号墓
E25_ManMadeFeature_Artifact_陶器_45_原始出土地点,E25_ManMadeFeature,瑶山八号墓
E25_ManMadeFeature_Artifact_陶器_46_原始出土地点,E25_ManMadeFeature,瑶山八号墓
E25_ManMadeFeature_Artifact_陶器_47_原始出土地点,E25_ManMadeFeature,瑶山八号墓
E25_ManMadeFeature_Artifact_陶器_48_原始出土地点,E25_ManMadeFeature,瑶山八号墓
E25_ManMadeFeature_Artifact_陶器_49_原始出土地点,E25_ManMadeFeature,瑶山十二号墓
E25_ManMadeFeature_Artifact_陶器_50_原始出土地点,E25_ManMadeFeature,瑶山十二号墓
E25_ManMadeFeature_Artifact_陶器_51_原始出土地点,E25_ManMadeFeature,瑶山九号墓
E25_ManMadeFeature_Artifact_陶器_52_原始出土地点,E25_ManMadeFeature,瑶山十二号墓
E25_ManMadeFeature_Artifact_陶器_53_原始出土地点,E25_ManMadeFeature,瑶山十二号墓
E25_ManMadeFeature_Artifact_陶器_54_原始出土地点,E25_ManMadeFeature,瑶山十号墓
E25_ManMadeFeature_Artifact_陶器_55_原始出土地点,E25_ManMadeFeature,瑶山十号墓
E25_ManMadeFeature_Artifact_陶器_56_原始出土地点,E25_ManMadeFeature,瑶山十号墓
E25_ManMadeFeature_Artifact_陶器_57_原始出土地点,E25_ManMadeFeature,瑶山十一号墓
E25_ManMadeFeature_Artifact_陶器_58_原始出土地点,E25_ManMadeFeature,瑶山十一号墓
E25_ManMadeFeature_Artifact_陶器_59_原始出土地点,E25_ManMadeFeature,瑶山十一号墓
E25_ManMadeFeature_Artifact_陶器_60_原始出土地点,E25_ManMadeFeature,瑶山十一号墓
E25_ManMadeFeature_Artifact_陶器_61_原始出土地点,E25_ManMadeFeature,瑶山十一号墓
E25_ManMadeFeature_Artifact_陶器_62_原始出土地点,E25_ManMadeFeature,瑶山十一号墓
E25_ManMadeFeature_Artifact_陶器_63_原始出土地点,E25_ManMadeFeature,瑶山十一号墓
