id:ID,:LABEL,value
E53_地点_Artifact_陶器_170_制作地点,E53_地点,良渚博物院
E53_地点_Artifact_陶器_3293_制作地点,E53_地点,郑州
E53_地点_Artifact_陶器_3294_制作地点,E53_地点,郑州
E53_地点_Artifact_陶器_3295_制作地点,E53_地点,郑州
E53_地点_Artifact_陶器_3296_制作地点,E53_地点,郑州
E53_地点_Artifact_陶器_3297_制作地点,E53_地点,郑州
E53_地点_Artifact_陶器_3442_制作地点,E53_地点,王家嘴
E53_地点_Artifact_陶器_3503_制作地点,E53_地点,李家嘴
E53_地点_Artifact_陶器_4062_制作地点,E53_地点,李家嘴
E53_地点_Artifact_玉器_2_制作地点,E53_地点,未提及
E53_地点_Artifact_玉器_27_制作地点,E53_地点,未提及
E53_地点_Artifact_玉器_107_制作地点,E53_地点,未提及
E53_地点_Artifact_玉器_267_制作地点,E53_地点,未提及
E53_地点_Artifact_玉器_413_制作地点,E53_地点,未提及
E53_地点_Artifact_玉器_944_制作地点,E53_地点,未提供
E53_地点_Artifact_玉器_945_制作地点,E53_地点,未描述
E53_地点_Artifact_玉器_946_制作地点,E53_地点,未描述
E53_地点_Artifact_玉器_947_制作地点,E53_地点,未描述
E53_地点_Artifact_玉器_962_制作地点,E53_地点,余杭文家山
E53_地点_Artifact_玉器_966_制作地点,E53_地点,未提及
E53_地点_Artifact_玉器_1000_制作地点,E53_地点,未描述
E53_地点_Artifact_玉器_1001_制作地点,E53_地点,未描述
E53_地点_Artifact_玉器_1002_制作地点,E53_地点,未描述
E53_地点_Artifact_玉器_1003_制作地点,E53_地点,未描述
E53_地点_Artifact_玉器_1221_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1222_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1223_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1224_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1225_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1226_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1571_制作地点,E53_地点,无描述
E53_地点_Artifact_玉器_1572_制作地点,E53_地点,无描述
E53_地点_Artifact_玉器_1573_制作地点,E53_地点,无描述
E53_地点_Artifact_玉器_1574_制作地点,E53_地点,无描述
E53_地点_Artifact_玉器_1575_制作地点,E53_地点,无描述
E53_地点_Artifact_玉器_1576_制作地点,E53_地点,无描述
E53_地点_Artifact_玉器_1577_制作地点,E53_地点,无描述
E53_地点_Artifact_玉器_1578_制作地点,E53_地点,无描述
E53_地点_Artifact_玉器_1579_制作地点,E53_地点,无描述
E53_地点_Artifact_玉器_1580_制作地点,E53_地点,无描述
E53_地点_Artifact_玉器_1581_制作地点,E53_地点,无描述
E53_地点_Artifact_玉器_1582_制作地点,E53_地点,无描述
E53_地点_Artifact_玉器_1583_制作地点,E53_地点,无描述
E53_地点_Artifact_玉器_1584_制作地点,E53_地点,无描述
E53_地点_Artifact_玉器_1585_制作地点,E53_地点,无描述
E53_地点_Artifact_玉器_1586_制作地点,E53_地点,无描述
E53_地点_Artifact_玉器_1798_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1799_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1800_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1801_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1802_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1803_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1804_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1805_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1806_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1807_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1808_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1809_制作地点,E53_地点,无
E53_地点_Artifact_玉器_1810_制作地点,E53_地点,无
