id:ID,:LABEL,value
记录其长、宽、高、重等定量数据。_Artifact_陶器_3_装饰手法,记录其长、宽、高、重等定量数据。,刻划
记录其长、宽、高、重等定量数据。_Artifact_陶器_8_装饰手法,记录其长、宽、高、重等定量数据。,刻划
记录其长、宽、高、重等定量数据。_Artifact_陶器_10_装饰手法,记录其长、宽、高、重等定量数据。,镂空
记录其长、宽、高、重等定量数据。_Artifact_陶器_12_装饰手法,记录其长、宽、高、重等定量数据。,刻划
记录其长、宽、高、重等定量数据。_Artifact_陶器_35_装饰手法,记录其长、宽、高、重等定量数据。,彩绘
记录其长、宽、高、重等定量数据。_Artifact_陶器_50_装饰手法,记录其长、宽、高、重等定量数据。,刻划
记录其长、宽、高、重等定量数据。_Artifact_陶器_53_装饰手法,记录其长、宽、高、重等定量数据。,刻划
记录其长、宽、高、重等定量数据。_Artifact_陶器_63_装饰手法,记录其长、宽、高、重等定量数据。,彩绘
记录其长、宽、高、重等定量数据。_Artifact_陶器_71_装饰手法,记录其长、宽、高、重等定量数据。,拍印
记录其长、宽、高、重等定量数据。_Artifact_陶器_112_装饰手法,记录其长、宽、高、重等定量数据。,拍印
记录其长、宽、高、重等定量数据。_Artifact_陶器_170_装饰手法,记录其长、宽、高、重等定量数据。,嵌玉
记录其长、宽、高、重等定量数据。_Artifact_陶器_177_装饰手法,记录其长、宽、高、重等定量数据。,饰
记录其长、宽、高、重等定量数据。_Artifact_陶器_181_装饰手法,记录其长、宽、高、重等定量数据。,"饰, 戳"
记录其长、宽、高、重等定量数据。_Artifact_陶器_183_装饰手法,记录其长、宽、高、重等定量数据。,饰
记录其长、宽、高、重等定量数据。_Artifact_陶器_189_装饰手法,记录其长、宽、高、重等定量数据。,戳
记录其长、宽、高、重等定量数据。_Artifact_陶器_190_装饰手法,记录其长、宽、高、重等定量数据。,截
记录其长、宽、高、重等定量数据。_Artifact_陶器_194_装饰手法,记录其长、宽、高、重等定量数据。,镂空
记录其长、宽、高、重等定量数据。_Artifact_陶器_200_装饰手法,记录其长、宽、高、重等定量数据。,"饰, 截"
记录其长、宽、高、重等定量数据。_Artifact_陶器_201_装饰手法,记录其长、宽、高、重等定量数据。,"饰, 截"
记录其长、宽、高、重等定量数据。_Artifact_陶器_205_装饰手法,记录其长、宽、高、重等定量数据。,刻
记录其长、宽、高、重等定量数据。_Artifact_陶器_211_装饰手法,记录其长、宽、高、重等定量数据。,饰
记录其长、宽、高、重等定量数据。_Artifact_陶器_214_装饰手法,记录其长、宽、高、重等定量数据。,饰
记录其长、宽、高、重等定量数据。_Artifact_陶器_216_装饰手法,记录其长、宽、高、重等定量数据。,"饰, 戳"
记录其长、宽、高、重等定量数据。_Artifact_陶器_219_装饰手法,记录其长、宽、高、重等定量数据。,饰
记录其长、宽、高、重等定量数据。_Artifact_陶器_223_装饰手法,记录其长、宽、高、重等定量数据。,饰
记录其长、宽、高、重等定量数据。_Artifact_陶器_306_装饰手法,记录其长、宽、高、重等定量数据。,刻划
记录其长、宽、高、重等定量数据。_Artifact_陶器_307_装饰手法,记录其长、宽、高、重等定量数据。,刻划
记录其长、宽、高、重等定量数据。_Artifact_陶器_325_装饰手法,记录其长、宽、高、重等定量数据。,刻划
记录其长、宽、高、重等定量数据。_Artifact_陶器_326_装饰手法,记录其长、宽、高、重等定量数据。,刻划
记录其长、宽、高、重等定量数据。_Artifact_陶器_327_装饰手法,记录其长、宽、高、重等定量数据。,刻划
记录其长、宽、高、重等定量数据。_Artifact_陶器_328_装饰手法,记录其长、宽、高、重等定量数据。,刻划
记录其长、宽、高、重等定量数据。_Artifact_陶器_329_装饰手法,记录其长、宽、高、重等定量数据。,刻划
记录其长、宽、高、重等定量数据。_Artifact_陶器_330_装饰手法,记录其长、宽、高、重等定量数据。,刻划
记录其长、宽、高、重等定量数据。_Artifact_陶器_331_装饰手法,记录其长、宽、高、重等定量数据。,刻划
记录其长、宽、高、重等定量数据。_Artifact_陶器_332_装饰手法,记录其长、宽、高、重等定量数据。,刻划
记录其长、宽、高、重等定量数据。_Artifact_陶器_333_装饰手法,记录其长、宽、高、重等定量数据。,刻
记录其长、宽、高、重等定量数据。_Artifact_陶器_334_装饰手法,记录其长、宽、高、重等定量数据。,刻
记录其长、宽、高、重等定量数据。_Artifact_陶器_338_装饰手法,记录其长、宽、高、重等定量数据。,刻
记录其长、宽、高、重等定量数据。_Artifact_陶器_339_装饰手法,记录其长、宽、高、重等定量数据。,刻
记录其长、宽、高、重等定量数据。_Artifact_陶器_341_装饰手法,记录其长、宽、高、重等定量数据。,粘贴
记录其长、宽、高、重等定量数据。_Artifact_陶器_342_装饰手法,记录其长、宽、高、重等定量数据。,刻
记录其长、宽、高、重等定量数据。_Artifact_陶器_343_装饰手法,记录其长、宽、高、重等定量数据。,刻
记录其长、宽、高、重等定量数据。_Artifact_陶器_345_装饰手法,记录其长、宽、高、重等定量数据。,戳
记录其长、宽、高、重等定量数据。_Artifact_陶器_346_装饰手法,记录其长、宽、高、重等定量数据。,刻
记录其长、宽、高、重等定量数据。_Artifact_陶器_348_装饰手法,记录其长、宽、高、重等定量数据。,戳点
记录其长、宽、高、重等定量数据。_Artifact_陶器_349_装饰手法,记录其长、宽、高、重等定量数据。,饰
记录其长、宽、高、重等定量数据。_Artifact_陶器_350_装饰手法,记录其长、宽、高、重等定量数据。,饰
记录其长、宽、高、重等定量数据。_Artifact_陶器_351_装饰手法,记录其长、宽、高、重等定量数据。,饰
记录其长、宽、高、重等定量数据。_Artifact_陶器_352_装饰手法,记录其长、宽、高、重等定量数据。,饰
记录其长、宽、高、重等定量数据。_Artifact_陶器_353_装饰手法,记录其长、宽、高、重等定量数据。,饰
记录其长、宽、高、重等定量数据。_Artifact_陶器_354_装饰手法,记录其长、宽、高、重等定量数据。,饰
记录其长、宽、高、重等定量数据。_Artifact_陶器_355_装饰手法,记录其长、宽、高、重等定量数据。,戳
记录其长、宽、高、重等定量数据。_Artifact_陶器_378_装饰手法,记录其长、宽、高、重等定量数据。,戳划
记录其长、宽、高、重等定量数据。_Artifact_陶器_381_装饰手法,记录其长、宽、高、重等定量数据。,刻划
记录其长、宽、高、重等定量数据。_Artifact_陶器_382_装饰手法,记录其长、宽、高、重等定量数据。,刻划
