START_ID,END_ID,TYPE
prod_c91163cf,type_04119f8b,P32_used_general_technique
prod_8fbaa4ff,type_d7efbf1c,P32_used_general_technique
prod_f1c8ff0b,type_b8fa3d8b,P32_used_general_technique
prod_ab452d98,type_05eb1bb3,P32_used_general_technique
prod_f73119ca,type_3ca92a73,P32_used_general_technique
prod_ba87598b,type_3ca92a73,P32_used_general_technique
prod_84d932ae,type_3ca92a73,P32_used_general_technique
prod_fef0076a,type_04119f8b,P32_used_general_technique
prod_752f5213,type_04119f8b,P32_used_general_technique
prod_b48268b1,type_3ca92a73,P32_used_general_technique
prod_b39c2a31,type_3ca92a73,P32_used_general_technique
prod_a74d3ff9,type_01a0cbe7,P32_used_general_technique
prod_ec545462,type_04119f8b,P32_used_general_technique
prod_9240c17f,type_7a067881,P32_used_general_technique
prod_7a8c5b49,type_3ca92a73,P32_used_general_technique
prod_14498496,type_04119f8b,P32_used_general_technique
prod_24364454,type_f3a2b99d,P32_used_general_technique
prod_eb752777,type_f3a2b99d,P32_used_general_technique
prod_e609c346,type_f3a2b99d,P32_used_general_technique
prod_e1d27d66,type_f3a2b99d,P32_used_general_technique
prod_da995adf,type_f3a2b99d,P32_used_general_technique
prod_3ab087b8,type_1485f2a6,P32_used_general_technique
prod_e98cc72e,type_37b28cdb,P32_used_general_technique
prod_853274c9,type_37b28cdb,P32_used_general_technique
prod_f7a956c0,type_37b28cdb,P32_used_general_technique
prod_6826a80a,type_37b28cdb,P32_used_general_technique
prod_daf97e88,type_37b28cdb,P32_used_general_technique
prod_6696516a,type_37b28cdb,P32_used_general_technique
prod_6b06d35f,type_04119f8b,P32_used_general_technique
prod_c6f7c908,type_f3a2b99d,P32_used_general_technique
prod_aba6a083,type_04119f8b,P32_used_general_technique
prod_955b2942,type_04119f8b,P32_used_general_technique
prod_7234d95b,type_3ca92a73,P32_used_general_technique
prod_2786ffb2,type_3ca92a73,P32_used_general_technique
prod_8c2126c6,type_eb967242,P32_used_general_technique
prod_bd4d3a16,type_53448790,P32_used_general_technique
prod_56d1ba75,type_3ca92a73,P32_used_general_technique
prod_dcd80902,type_3ca92a73,P32_used_general_technique
prod_807ad027,type_3ca92a73,P32_used_general_technique
prod_434f5460,type_eafbece1,P32_used_general_technique
prod_a3ed5119,type_eafbece1,P32_used_general_technique
prod_97388a2b,type_eafbece1,P32_used_general_technique
prod_23ea9b26,type_eafbece1,P32_used_general_technique
prod_5aee836b,type_eafbece1,P32_used_general_technique
prod_da763e80,type_eafbece1,P32_used_general_technique
prod_48b32b1b,type_eafbece1,P32_used_general_technique
prod_608b5586,type_eafbece1,P32_used_general_technique
prod_502c2d64,type_eafbece1,P32_used_general_technique
prod_c381851b,type_eafbece1,P32_used_general_technique
prod_afadb3cf,type_eafbece1,P32_used_general_technique
prod_5bd424bb,type_eafbece1,P32_used_general_technique
prod_fddc5a14,type_04119f8b,P32_used_general_technique
prod_07e94a14,type_04119f8b,P32_used_general_technique
prod_eef3f691,type_04119f8b,P32_used_general_technique
prod_111b1074,type_04119f8b,P32_used_general_technique
prod_640e2542,type_04119f8b,P32_used_general_technique
prod_6568bbd3,type_04119f8b,P32_used_general_technique
prod_5c1ad708,type_04119f8b,P32_used_general_technique
prod_f6aa657a,type_04119f8b,P32_used_general_technique
