id,name,category,height,
obj_bc6a854b,M15:42,Pottery,11.3,E22_Man_Made_Object
obj_40158645,M18:28,Pottery,13.7,E22_Man_Made_Object
obj_0d1ff9f8,M20：201,Pottery,18.5,E22_Man_Made_Object
obj_4f3f5d7b,M20：200,Pottery,18.5,E22_Man_Made_Object
obj_263a642d,M22：66,Pottery,,E22_Man_Made_Object
obj_86575ed4,M22：65,Pottery,,E22_Man_Made_Object
obj_c74ed280,M22：61,Pottery,,E22_Man_Made_Object
obj_d350f13f,M22:66,Pottery,16.0,E22_Man_Made_Object
obj_e375b534,M22:65,Pottery,9.5,E22_Man_Made_Object
obj_ffdc5992,M22:61,Pottery,15.5,E22_Man_Made_Object
obj_77c00240,M23:203,Pottery,10.6,E22_Man_Made_Object
obj_114acdf3,M23:210,Pottery,7.3,E22_Man_Made_Object
obj_de80f73c,M23:208,Pottery,11.0,E22_Man_Made_Object
obj_e5bd3cf8,M23:169,Pottery,,E22_Man_Made_Object
obj_1cf69c8f,M1:24,Pottery,,E22_Man_Made_Object
obj_8bdec351,M1:25,Pottery,,E22_Man_Made_Object
obj_038236eb,M1:26,Pottery,,E22_Man_Made_Object
obj_c39a55e6,M1:27,Pottery,,E22_Man_Made_Object
obj_a7bb0421,M2:34,Pottery,,E22_Man_Made_Object
obj_bd04a58b,M2:35,Pottery,,E22_Man_Made_Object
obj_1265086a,M2:36,Pottery,,E22_Man_Made_Object
obj_016fa9ea,M2:62,Pottery,,E22_Man_Made_Object
obj_598b0074,M3:49,Pottery,,E22_Man_Made_Object
obj_ccdcaacc,M3:43,Pottery,,E22_Man_Made_Object
obj_2e04861d,M3:50,Pottery,,E22_Man_Made_Object
obj_6fbd683e,M3:45,Pottery,,E22_Man_Made_Object
obj_343aaa04,M4:38,Pottery,12.9,E22_Man_Made_Object
obj_57b4e64d,M4:39,Pottery,,E22_Man_Made_Object
obj_8c8e2fd7,M4:40,Pottery,,E22_Man_Made_Object
obj_43747696,M4:41,Pottery,,E22_Man_Made_Object
obj_3f798496,M4:42,Pottery,,E22_Man_Made_Object
obj_b0d87b6e,M4:43,Pottery,,E22_Man_Made_Object
obj_56d6779f,M4:45,Pottery,6.0,E22_Man_Made_Object
