id,name,LABEL,value
mat_5f6dfeb7,泥质褐胎黑皮陶,E57_Material,
type_49823b10,豆,E55_Type,
dim_172ade41,基本尺寸:尺寸描述,E54_Dimension,口径21.2、高11、圈足径16.6厘米
dim_51878110,基本尺寸:尺寸描述,E54_Dimension,口径20.4、高13.7、圈足径15.2厘米
mat_bf5d86f9,夹砂褐胎黑皮陶,E57_Material,
type_940e72a7,鼎,E55_Type,
dim_e0ef5554,基本尺寸:尺寸描述,E54_Dimension,通高约18.5、口径约14.3厘米
type_87f90d38,刻划,E55_Type,
mat_aa1d50ef,夹砂灰胎黑皮陶,E57_Material,
type_21427cf5,罐,E55_Type,
dim_2211078e,基本尺寸:尺寸描述,E54_Dimension,通高18.5、口径14.4厘米
type_b712c9ad,甑,E55_Type,
mat_48d374b7,夹砂红胎黑皮陶,E57_Material,
dim_8e1b40ae,基本尺寸:尺寸描述,E54_Dimension,通高约16、口径14.5厘米
type_1ae4502f,炊煮,E55_Type,
type_6d5264ec,抹光,E55_Type,
dim_142a3ddb,基本尺寸:尺寸描述,E54_Dimension,通高约9.5、口径约18厘米，甑孔直径约8厘米
mat_5d640c38,泥质灰胎黑皮陶,E57_Material,
dim_413202c8,基本尺寸:尺寸描述,E54_Dimension,通高约15.5、口径25.6、足径19.2厘米
type_9b144005,礼器,E55_Type,
type_60ce33c2,镂空,E55_Type,
mat_bb7533b2,夹砂黑胎黑皮陶,E57_Material,
type_4334fc53,陶甑鼎,E55_Type,
mat_726b3299,砂,E57_Material,
dim_ddd90d1d,基本尺寸:尺寸描述,E54_Dimension,口径10.4、通高10.6厘米
type_ff4efcaf,盘,E55_Type,
dim_c85c169b,基本尺寸:尺寸描述,E54_Dimension,通高约7.3、口径约24.5厘米
type_c6a59806,陶过滤器,E55_Type,
dim_51878ea6,基本尺寸:尺寸描述,E54_Dimension,通高约11、过滤钵直径约5、过滤器直径12~12.5厘米，过滤竿长约3.5厘米
mat_92df81bf,泥质灰陶,E57_Material,
mat_2c2cf701,夹粗砂红陶,E57_Material,
type_f7de1d81,缸,E55_Type,
type_3e3ead1a,泥质灰陶器,E55_Type,
mat_000e0325,夹砂红陶,E57_Material,
dim_64844d2b,基本尺寸:尺寸描述,E54_Dimension,豆柄外径9.6厘米
type_ff5ad7e1,圈足罐,E55_Type,
mat_76a99318,夹砂红褐陶,E57_Material,
dim_aec1d62a,基本尺寸:尺寸描述,E54_Dimension,口径约18厘米
type_c046c298,盛储,E55_Type,
mat_25685433,粗砂,E57_Material,
type_3485cee2,陶豆,E55_Type,
dim_e01db9d5,基本尺寸:尺寸描述,E54_Dimension,高12.9、口径25.2、足径19.4厘米
mat_7e888ffb,泥质灰胎，外胎为橙黄色,E57_Material,
type_7a56b4ea,圈足盘,E55_Type,
type_2b5b9c24,磨光,E55_Type,
mat_3357c26d,夹粗砂褐胎,E57_Material,
mat_e03df801,泥质橙红胎黑皮陶,E57_Material,
type_697755e7,平底盘,E55_Type,
dim_ca63c926,基本尺寸:尺寸描述,E54_Dimension,高6、口径25.8、底径11.2厘米
type_079ee7f1,彩绘,E55_Type,
mat_858ed3e5,泥质陶,E57_Material,
mat_e7c6f48a,泥质橙红陶,E57_Material,
mat_8d6727fc,夹细砂红陶,E57_Material,
type_53aae0fe,不明器种,E55_Type,
mat_aee8c8bf,细砂,E57_Material,
mat_3b470c5f,夹粗砂陶,E57_Material,
mat_4e7e9a54,夹细砂红褐陶,E57_Material,
mat_52ac07b9,夹砂陶,E57_Material,
mat_644a6c09,夹细砂陶,E57_Material,
type_aee8c8bf,细砂,E55_Type,
dim_455047c2,基本尺寸:尺寸描述,E54_Dimension,高18.4、口径14.8厘米
dim_f72bc68d,基本尺寸:尺寸描述,E54_Dimension,高10.3、口径21.8、足径18.6厘米
type_25685433,粗砂,E55_Type,
dim_6f545a34,基本尺寸:尺寸描述,E54_Dimension,高32.4、口径32~33.5厘米
dim_87eedf33,基本尺寸:尺寸描述,E54_Dimension,口径20.4厘米
type_04bd0c61,过滤器,E55_Type,
type_bb8472c4,过滤,E55_Type,
type_2ab47290,陶鼎,E55_Type,
dim_01d11e5b,基本尺寸:尺寸描述,E54_Dimension,高18、口径13.9厘米
type_83bfb33b,器表光滑,E55_Type,
type_85d3a0d4,陶甑,E55_Type,
dim_dc732c2d,基本尺寸:尺寸描述,E54_Dimension,高10.3、口径15.5、底径10.2厘米
dim_5aebb27c,基本尺寸:尺寸描述,E54_Dimension,高14.8、口径13.6厘米
dim_f4e21e8f,基本尺寸:尺寸描述,E54_Dimension,口径约11、足径约16厘米
type_096db2a8,器表磨光,E55_Type,
dim_a06b59a5,基本尺寸:尺寸描述,E54_Dimension,口径约23.4厘米
mat_dc1f3774,夹细砂,E57_Material,
mat_d1e07c6f,石英云母物质,E57_Material,
type_71f4e91d,抹划,E55_Type,
mat_e6968dff,夹粗砂,E57_Material,
mat_b8ed7324,泥质黑胎黑皮陶,E57_Material,
type_2d6b90ef,大口缸,E55_Type,
type_c67c74d4,拍印,E55_Type,
mat_11582143,夹细砂黑皮陶,E57_Material,
