id:ID,:LABEL,metric,value
E54_量度_Artifact_陶器_439_量度信息,E54_量度,量度信息,口径15.6、高10.6、圈足径10.7厘米
E54_量度_Artifact_陶器_464_量度信息,E54_量度,量度信息,口径23.8、高7.9、圈足径18.2厘米
E54_量度_Artifact_陶器_483_量度信息,E54_量度,量度信息,口径6、高10、圈足径5.5厘米
E54_量度_Artifact_陶器_552_量度信息,E54_量度,量度信息,直径3.6、厚1.5、孔径0.4厘米
E54_量度_Artifact_陶器_558_量度信息,E54_量度,量度信息,口径24.7、高7.8、圈足径17.2厘米
E54_量度_Artifact_陶器_599_量度信息,E54_量度,量度信息,口径6.9、通高12.9、圈足径5.6厘米
E54_量度_Artifact_玉器_1_量度信息,E54_量度,量度信息,"通高8.9厘米，上射径17.1~17.6、下射径16.5~17.5厘米，孔外径5、孔内径3.8厘米 | 通高8.9厘米，上射径17.1~17.6厘米，下射径16.5~17.5厘米，孔外径5厘米，孔内径3.8厘米 |  | {'diameter_min': 17.1, 'diameter_max': 17.6, 'hole_diameter': 4.9, 'height': 8.8, 'weight': 6500}"
E54_量度_Artifact_玉器_2_量度信息,E54_量度,量度信息,"通高9.8~9.9厘米，上射径8.37~8.42、下射径8.27~8.37厘米，孔外径上6.6、孔外径下为6.4厘米，孔内径5.8厘米 | {'height': 10, 'diameter': 8.4, 'hole_diameter': 6.6}"
E54_量度_Artifact_玉器_3_量度信息,E54_量度,量度信息,"{""length"": null, ""width"": 6.65, ""thickness"": 0.45, ""height"": 3.1, ""diameter"": null, ""hole_diameter"": null, ""weight"": null}"
E54_量度_Artifact_玉器_4_量度信息,E54_量度,量度信息,"{""length"": null, ""width"": null, ""thickness"": null, ""height"": 7.7, ""diameter"": null, ""hole_diameter"": 0.5, ""weight"": null}"
E54_量度_Artifact_玉器_5_量度信息,E54_量度,量度信息,"{'length': None, 'width': 6.36, 'thickness': 0.66, 'height': 3.4, 'diameter': None, 'hole_diameter': 0.4, 'weight': None} | 宽6.3厘米，通高3.4厘米，最厚0.6厘米"
E54_量度_Artifact_玉器_6_量度信息,E54_量度,量度信息,"{""length"": null, ""width"": 5.8, ""thickness"": 0.5, ""height"": 3.5, ""diameter"": null, ""hole_diameter"": null, ""weight"": null}"
E54_量度_Artifact_玉器_7_量度信息,E54_量度,量度信息,"{""length"": null, ""width"": 5.9, ""thickness"": 0.5, ""height"": 3.5, ""diameter"": null, ""hole_diameter"": null, ""weight"": null}"
E54_量度_Artifact_玉器_8_量度信息,E54_量度,量度信息,"{""length"": null, ""width"": 5.8, ""thickness"": 0.46, ""height"": 3.45, ""diameter"": null, ""hole_diameter"": null, ""weight"": null}"
E54_量度_Artifact_玉器_9_量度信息,E54_量度,量度信息,"{'length': None, 'width': 5.9, 'thickness': 0.65, 'height': 3.4, 'diameter': None, 'hole_diameter': None, 'weight': None} | {'width': 5.8, 'height': 3.5, 'thickness': 0.3} | "
E54_量度_Artifact_玉器_10_量度信息,E54_量度,量度信息,"{'length': 7.6, 'width': None, 'thickness': None, 'height': None, 'diameter': 0.8, 'hole_diameter': None, 'weight': None} | 长7.6厘米，直径0.8厘米"
