id:ID,:LABEL,name
E55_Type_0f3aa26ab6,E55_Type,凹弦纹、凸弦纹、长方形镂孔
E55_Type_520b2f7086,E55_Type,竖向的线条
E55_Type_4334fc5387,E55_Type,陶甑鼎
E55_Type_532d9e361f,E55_Type,甑鼎组合
E55_Type_6d5264ec98,E55_Type,抹光
E55_Type_7889e3011e,E55_Type,竖向线条
E55_Type_2419889e02,E55_Type,长方形镂孔
E55_Type_781dfb1fee,E55_Type,素面
E55_Type_d9fee6ba3e,E55_Type,凸弦纹
E55_Type_c94a2c8fa0,E55_Type,粗篮纹
E55_Type_1e442903c7,E55_Type,鼎1
E55_Type_3c1795b51a,E55_Type,豆1
E55_Type_51521e156d,E55_Type,圈足罐1
E55_Type_24baae5dbb,E55_Type,缸1
E55_Type_2908fff697,E55_Type,凹弦纹
E55_Type_2b5b9c241b,E55_Type,磨光
E55_Type_8426ccc6d9,E55_Type,斜向篮纹
E55_Type_f2df3f412e,E55_Type,朱色彩绘
E55_Type_65ebc35d78,E55_Type,篮纹
E55_Type_fb94c3ce77,E55_Type,凹弦纹，凹弧边三角形和圆形未透镂孔组成的纹带
E55_Type_83bfb33b5a,E55_Type,器表光滑
E55_Type_096db2a87f,E55_Type,器表磨光
E55_Type_71f4e91d99,E55_Type,抹划
E55_Type_e88b0ca693,E55_Type,弦纹
E55_Type_04119f8b3f,E55_Type,轮制
E55_Type_9f1a6313dd,E55_Type,甑鼎（一套）
E55_Type_366526c225,E55_Type,竹节状凸棱
E55_Type_bed304e3dc,E55_Type,"凹弦纹, 扁圆孔"
E55_Type_466e21b624,E55_Type,圆形穿孔
E55_Type_08beabf173,E55_Type,"凹弦纹, 圆形镂孔"
E55_Type_241f42a2ca,E55_Type,"凸棱, 褶棱, 扁圆孔"
E55_Type_19d38b8011,E55_Type,"凸弦纹, 扁圆形镂孔"
E55_Type_d29660b20b,E55_Type,"凹弦纹,扁圆孔"
E55_Type_280114d5f4,E55_Type,褶棱
E55_Type_68efa702c1,E55_Type,"凹弦纹, 圆形穿孔"
E55_Type_4bf5ca7e9d,E55_Type,"凸棱, 扁穿孔"
E55_Type_d74d0f20a7,E55_Type,凸棱
E55_Type_5046cfc1bc,E55_Type,鼎、豆、罐组合
E55_Type_d401c3bb04,E55_Type,凸弦纹、凹弦纹、圆形镂孔、扁圆形镂孔
E55_Type_6bd9bec219,E55_Type,平行的竖向直槽，两个半圆错位相扣的符号
E55_Type_fd9437b4bd,E55_Type,短刻槽
E55_Type_a2e568c754,E55_Type,三道断续的竖向刻槽
E55_Type_662fd6b504,E55_Type,多道交错的短直线
E55_Type_7d7ef7ad6f,E55_Type,花边，中部有一道较深的竖槽，竖槽两边各有三道较浅的平行直线
E55_Type_cdbbf3535d,E55_Type,两组凸弦纹，弦纹间饰有扁圆镂孔，一周三孔
E55_Type_14c9268b49,E55_Type,麻花状
E55_Type_44dee6d11f,E55_Type,交叉的短直线
E55_Type_5c9d96632a,E55_Type,多条竖向短直线
E55_Type_ea61856ece,E55_Type,两点为一组的戳点纹
E55_Type_35daf5ebea,E55_Type,竖向短直线
E55_Type_9662e7e623,E55_Type,两点为一组
E55_Type_664ebc355a,E55_Type,弦断条纹
E55_Type_af42653c1b,E55_Type,不规则波浪纹
E55_Type_635ffb739e,E55_Type,纵向曲折纹
E55_Type_704433810c,E55_Type,瓦棱
E55_Type_92ef7e9db8,E55_Type,不规则的波浪纹
