:START_ID,:END_ID,:TYPE
Structure_1,Site_4,P53_has_former_or_current_location
Structure_2,Site_4,P53_has_former_or_current_location
Structure_3,Site_4,P53_has_former_or_current_location
Structure_4,Site_4,P53_has_former_or_current_location
Structure_5,Site_4,P53_has_former_or_current_location
Structure_6,Site_4,P53_has_former_or_current_location
Structure_7,Site_4,P53_has_former_or_current_location
Structure_8,Site_2,P53_has_former_or_current_location
Structure_9,Site_2,P53_has_former_or_current_location
Structure_10,Site_2,P53_has_former_or_current_location
Structure_11,Site_2,P53_has_former_or_current_location
Structure_12,Site_2,P53_has_former_or_current_location
Structure_13,Site_2,P53_has_former_or_current_location
Structure_14,Site_2,P53_has_former_or_current_location
Structure_15,Site_2,P53_has_former_or_current_location
Structure_16,Site_2,P53_has_former_or_current_location
Structure_17,Site_2,P53_has_former_or_current_location
Structure_18,Site_2,P53_has_former_or_current_location
Structure_19,Site_2,P53_has_former_or_current_location
Structure_20,Site_2,P53_has_former_or_current_location
Structure_21,Site_2,P53_has_former_or_current_location
Structure_22,Site_2,P53_has_former_or_current_location
Structure_23,Site_2,P53_has_former_or_current_location
Structure_24,Site_2,P53_has_former_or_current_location
Structure_25,Site_2,P53_has_former_or_current_location
Structure_26,Site_2,P53_has_former_or_current_location
Structure_27,Site_2,P53_has_former_or_current_location
Structure_28,Site_2,P53_has_former_or_current_location
Structure_29,Site_2,P53_has_former_or_current_location
Structure_30,Site_5,P53_has_former_or_current_location
Structure_31,Site_5,P53_has_former_or_current_location
Structure_32,Site_5,P53_has_former_or_current_location
Structure_33,Site_5,P53_has_former_or_current_location
Structure_34,Site_5,P53_has_former_or_current_location
Structure_35,Site_5,P53_has_former_or_current_location
Structure_36,Site_5,P53_has_former_or_current_location
Structure_37,Site_5,P53_has_former_or_current_location
Structure_38,Site_5,P53_has_former_or_current_location
Structure_39,Site_5,P53_has_former_or_current_location
Structure_40,Site_5,P53_has_former_or_current_location
Structure_41,Site_5,P53_has_former_or_current_location
Structure_42,Site_5,P53_has_former_or_current_location
Structure_43,Site_5,P53_has_former_or_current_location
Structure_44,Site_5,P53_has_former_or_current_location
Period_1,Site_2,P7_took_place_at
Period_2,Site_2,P7_took_place_at
Period_3,Site_3,P7_took_place_at
Period_4,Site_1,P7_took_place_at
Period_5,Site_1,P7_took_place_at
Period_6,Site_4,P7_took_place_at
Period_7,Site_5,P7_took_place_at
Period_8,Site_5,P7_took_place_at
Period_9,Site_5,P7_took_place_at
Period_10,Site_5,P7_took_place_at
Period_11,Site_2,P7_took_place_at
Period_12,Site_2,P7_took_place_at
Period_13,Site_5,P7_took_place_at
Period_14,Site_5,P7_took_place_at
Period_15,Site_5,P7_took_place_at
Period_16,Site_5,P7_took_place_at
Period_17,Site_7,P7_took_place_at
Period_18,Site_7,P7_took_place_at
Period_19,Site_6,P7_took_place_at
Period_20,Site_6,P7_took_place_at
Period_21,Site_6,P7_took_place_at
Period_22,Site_6,P7_took_place_at
Period_23,Site_6,P7_took_place_at
Period_24,Site_6,P7_took_place_at
Period_25,Site_6,P7_took_place_at
Period_26,Site_6,P7_took_place_at
Period_27,Site_6,P7_took_place_at
Period_28,Site_6,P7_took_place_at
Period_29,Site_6,P7_took_place_at
Period_4,Period_5,P120_occurs_before
Period_1,Period_2,P120_occurs_before
Period_2,Period_11,P120_occurs_before
Period_11,Period_12,P120_occurs_before
Period_9,Period_15,P120_occurs_before
Period_15,Period_8,P120_occurs_before
Period_8,Period_14,P120_occurs_before
Period_14,Period_7,P120_occurs_before
Period_7,Period_13,P120_occurs_before
Period_13,Period_10,P120_occurs_before
Period_10,Period_16,P120_occurs_before
Period_19,Period_20,P120_occurs_before
Period_20,Period_22,P120_occurs_before
Period_22,Period_21,P120_occurs_before
Period_21,Period_24,P120_occurs_before
Period_24,Period_25,P120_occurs_before
Period_25,Period_23,P120_occurs_before
Period_23,Period_26,P120_occurs_before
Period_26,Period_27,P120_occurs_before
Period_27,Period_28,P120_occurs_before
Period_28,Period_29,P120_occurs_before
Period_18,Period_17,P120_occurs_before
Artifact_陶器_1,E25_ManMadeFeature_Artifact_陶器_1_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_2,E25_ManMadeFeature_Artifact_陶器_2_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_2,E36_VisualItem_Artifact_陶器_2_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_2_纹饰类型,E55_Type_0f3aa26ab6,P2_has_type
Artifact_陶器_3,E25_ManMadeFeature_Artifact_陶器_3_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_3,E12_Production_Artifact_陶器_3,P108_was_produced_by
E12_Production_Artifact_陶器_3,记录其长、宽、高、重等定量数据。_Artifact_陶器_3_装饰手法,P32_used_specific_technique
Artifact_陶器_3,E36_VisualItem_Artifact_陶器_3_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_3_纹饰类型,E55_Type_520b2f7086,P2_has_type
Artifact_陶器_4,E25_ManMadeFeature_Artifact_陶器_4_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_5,E25_ManMadeFeature_Artifact_陶器_5_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_5,E19_PhysicalObject_Artifact_陶器_5_器物组合,P46_is_composed_of
E19_PhysicalObject_Artifact_陶器_5_器物组合,E55_Type_4334fc5387,P2_has_type
Artifact_陶器_6,E25_ManMadeFeature_Artifact_陶器_6_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_6,E19_PhysicalObject_Artifact_陶器_6_器物组合,P46_is_composed_of
E19_PhysicalObject_Artifact_陶器_6_器物组合,E55_Type_4334fc5387,P2_has_type
Artifact_陶器_7,E25_ManMadeFeature_Artifact_陶器_7_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_8,E25_ManMadeFeature_Artifact_陶器_8_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_8,E19_PhysicalObject_Artifact_陶器_8_器物组合,P46_is_composed_of
E19_PhysicalObject_Artifact_陶器_8_器物组合,E55_Type_532d9e361f,P2_has_type
Artifact_陶器_8,E12_Production_Artifact_陶器_8,P108_was_produced_by
E12_Production_Artifact_陶器_8,E55_Type_6d5264ec98,P32_used_specific_technique
Artifact_陶器_8,E12_Production_Artifact_陶器_8,P108_was_produced_by
E12_Production_Artifact_陶器_8,记录其长、宽、高、重等定量数据。_Artifact_陶器_8_装饰手法,P32_used_specific_technique
Artifact_陶器_8,E36_VisualItem_Artifact_陶器_8_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_8_纹饰类型,E55_Type_7889e3011e,P2_has_type
Artifact_陶器_9,E25_ManMadeFeature_Artifact_陶器_9_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_9,E19_PhysicalObject_Artifact_陶器_9_器物组合,P46_is_composed_of
E19_PhysicalObject_Artifact_陶器_9_器物组合,E55_Type_532d9e361f,P2_has_type
Artifact_陶器_10,E25_ManMadeFeature_Artifact_陶器_10_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_10,E12_Production_Artifact_陶器_10,P108_was_produced_by
E12_Production_Artifact_陶器_10,记录其长、宽、高、重等定量数据。_Artifact_陶器_10_装饰手法,P32_used_specific_technique
Artifact_陶器_10,E36_VisualItem_Artifact_陶器_10_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_10_纹饰类型,E55_Type_2419889e02,P2_has_type
Artifact_陶器_11,E25_ManMadeFeature_Artifact_陶器_11_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_11,E57_Material_Artifact_陶器_11_掺杂物,P45_consists_of
Artifact_陶器_11,E12_Production_Artifact_陶器_11,P108_was_produced_by
E12_Production_Artifact_陶器_11,E55_Type_6d5264ec98,P32_used_specific_technique
Artifact_陶器_11,E36_VisualItem_Artifact_陶器_11_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_11_纹饰类型,E55_Type_781dfb1fee,P2_has_type
Artifact_陶器_12,E25_ManMadeFeature_Artifact_陶器_12_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_12,E12_Production_Artifact_陶器_12,P108_was_produced_by
E12_Production_Artifact_陶器_12,记录其长、宽、高、重等定量数据。_Artifact_陶器_12_装饰手法,P32_used_specific_technique
Artifact_陶器_12,E36_VisualItem_Artifact_陶器_12_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_12_纹饰类型,E55_Type_d9fee6ba3e,P2_has_type
Artifact_陶器_13,E25_ManMadeFeature_Artifact_陶器_13_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_13,E57_Material_Artifact_陶器_13_掺杂物,P45_consists_of
Artifact_陶器_14,E25_ManMadeFeature_Artifact_陶器_14_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_15,E25_ManMadeFeature_Artifact_陶器_15_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_16,E25_ManMadeFeature_Artifact_陶器_16_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_16,E36_VisualItem_Artifact_陶器_16_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_16_纹饰类型,E55_Type_c94a2c8fa0,P2_has_type
Artifact_陶器_17,E25_ManMadeFeature_Artifact_陶器_17_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_18,E25_ManMadeFeature_Artifact_陶器_18_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_19,E25_ManMadeFeature_Artifact_陶器_19_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_20,E25_ManMadeFeature_Artifact_陶器_20_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_21,E25_ManMadeFeature_Artifact_陶器_21_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_22,E25_ManMadeFeature_Artifact_陶器_22_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_23,E25_ManMadeFeature_Artifact_陶器_23_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_23,E57_Material_Artifact_陶器_23_掺杂物,P45_consists_of
Artifact_陶器_23,E19_PhysicalObject_Artifact_陶器_23_器物组合,P46_is_composed_of
E19_PhysicalObject_Artifact_陶器_23_器物组合,E55_Type_1e442903c7,P2_has_type
Artifact_陶器_24,E25_ManMadeFeature_Artifact_陶器_24_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_24,E19_PhysicalObject_Artifact_陶器_24_器物组合,P46_is_composed_of
E19_PhysicalObject_Artifact_陶器_24_器物组合,E55_Type_3c1795b51a,P2_has_type
Artifact_陶器_25,E25_ManMadeFeature_Artifact_陶器_25_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_25,E57_Material_Artifact_陶器_25_掺杂物,P45_consists_of
Artifact_陶器_25,E19_PhysicalObject_Artifact_陶器_25_器物组合,P46_is_composed_of
E19_PhysicalObject_Artifact_陶器_25_器物组合,E55_Type_51521e156d,P2_has_type
Artifact_陶器_26,E25_ManMadeFeature_Artifact_陶器_26_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_26,E57_Material_Artifact_陶器_26_掺杂物,P45_consists_of
Artifact_陶器_26,E19_PhysicalObject_Artifact_陶器_26_器物组合,P46_is_composed_of
E19_PhysicalObject_Artifact_陶器_26_器物组合,E55_Type_24baae5dbb,P2_has_type
Artifact_陶器_27,E25_ManMadeFeature_Artifact_陶器_27_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_27,E36_VisualItem_Artifact_陶器_27_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_27_纹饰类型,E55_Type_2908fff697,P2_has_type
Artifact_陶器_28,E25_ManMadeFeature_Artifact_陶器_28_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_29,E25_ManMadeFeature_Artifact_陶器_29_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_29,E12_Production_Artifact_陶器_29,P108_was_produced_by
E12_Production_Artifact_陶器_29,E55_Type_2b5b9c241b,P32_used_specific_technique
Artifact_陶器_30,E25_ManMadeFeature_Artifact_陶器_30_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_31,E25_ManMadeFeature_Artifact_陶器_31_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_31,E57_Material_Artifact_陶器_31_掺杂物,P45_consists_of
Artifact_陶器_31,E36_VisualItem_Artifact_陶器_31_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_31_纹饰类型,E55_Type_8426ccc6d9,P2_has_type
Artifact_陶器_32,E25_ManMadeFeature_Artifact_陶器_32_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_33,E25_ManMadeFeature_Artifact_陶器_33_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_34,E25_ManMadeFeature_Artifact_陶器_34_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_34,E57_Material_Artifact_陶器_34_掺杂物,P45_consists_of
Artifact_陶器_35,E25_ManMadeFeature_Artifact_陶器_35_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_35,E12_Production_Artifact_陶器_35,P108_was_produced_by
E12_Production_Artifact_陶器_35,记录其长、宽、高、重等定量数据。_Artifact_陶器_35_装饰手法,P32_used_specific_technique
Artifact_陶器_35,E36_VisualItem_Artifact_陶器_35_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_35_纹饰类型,E55_Type_f2df3f412e,P2_has_type
Artifact_陶器_36,E25_ManMadeFeature_Artifact_陶器_36_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_37,E25_ManMadeFeature_Artifact_陶器_37_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_38,E25_ManMadeFeature_Artifact_陶器_38_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_38,E57_Material_Artifact_陶器_38_掺杂物,P45_consists_of
Artifact_陶器_39,E25_ManMadeFeature_Artifact_陶器_39_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_39,E57_Material_Artifact_陶器_39_掺杂物,P45_consists_of
Artifact_陶器_40,E25_ManMadeFeature_Artifact_陶器_40_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_40,E57_Material_Artifact_陶器_40_掺杂物,P45_consists_of
Artifact_陶器_41,E25_ManMadeFeature_Artifact_陶器_41_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_41,E12_Production_Artifact_陶器_41,P108_was_produced_by
E12_Production_Artifact_陶器_41,E55_Type_2b5b9c241b,P32_used_specific_technique
Artifact_陶器_42,E25_ManMadeFeature_Artifact_陶器_42_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_43,E25_ManMadeFeature_Artifact_陶器_43_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_44,E25_ManMadeFeature_Artifact_陶器_44_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_44,E12_Production_Artifact_陶器_44,P108_was_produced_by
E12_Production_Artifact_陶器_44,E55_Type_2b5b9c241b,P32_used_specific_technique
Artifact_陶器_45,E25_ManMadeFeature_Artifact_陶器_45_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_46,E25_ManMadeFeature_Artifact_陶器_46_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_47,E25_ManMadeFeature_Artifact_陶器_47_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_47,E36_VisualItem_Artifact_陶器_47_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_47_纹饰类型,E55_Type_65ebc35d78,P2_has_type
Artifact_陶器_48,E25_ManMadeFeature_Artifact_陶器_48_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_49,E25_ManMadeFeature_Artifact_陶器_49_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_50,E25_ManMadeFeature_Artifact_陶器_50_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_50,E12_Production_Artifact_陶器_50,P108_was_produced_by
E12_Production_Artifact_陶器_50,记录其长、宽、高、重等定量数据。_Artifact_陶器_50_装饰手法,P32_used_specific_technique
Artifact_陶器_50,E36_VisualItem_Artifact_陶器_50_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_50_纹饰类型,E55_Type_fb94c3ce77,P2_has_type
Artifact_陶器_51,E25_ManMadeFeature_Artifact_陶器_51_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_51,E12_Production_Artifact_陶器_51,P108_was_produced_by
E12_Production_Artifact_陶器_51,E55_Type_2b5b9c241b,P32_used_specific_technique
Artifact_陶器_52,E25_ManMadeFeature_Artifact_陶器_52_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_53,E25_ManMadeFeature_Artifact_陶器_53_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_53,E12_Production_Artifact_陶器_53,P108_was_produced_by
E12_Production_Artifact_陶器_53,记录其长、宽、高、重等定量数据。_Artifact_陶器_53_装饰手法,P32_used_specific_technique
Artifact_陶器_53,E36_VisualItem_Artifact_陶器_53_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_53_纹饰类型,E55_Type_2908fff697,P2_has_type
Artifact_陶器_54,E25_ManMadeFeature_Artifact_陶器_54_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_54,E57_Material_Artifact_陶器_54_掺杂物,P45_consists_of
Artifact_陶器_54,E36_VisualItem_Artifact_陶器_54_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_54_纹饰类型,E55_Type_781dfb1fee,P2_has_type
Artifact_陶器_55,E25_ManMadeFeature_Artifact_陶器_55_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_55,E57_Material_Artifact_陶器_55_掺杂物,P45_consists_of
Artifact_陶器_56,E25_ManMadeFeature_Artifact_陶器_56_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_56,E57_Material_Artifact_陶器_56_掺杂物,P45_consists_of
Artifact_陶器_57,E25_ManMadeFeature_Artifact_陶器_57_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_58,E25_ManMadeFeature_Artifact_陶器_58_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_58,E57_Material_Artifact_陶器_58_掺杂物,P45_consists_of
Artifact_陶器_58,E12_Production_Artifact_陶器_58,P108_was_produced_by
E12_Production_Artifact_陶器_58,E55_Type_83bfb33b5a,P32_used_specific_technique
Artifact_陶器_59,E25_ManMadeFeature_Artifact_陶器_59_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_59,E57_Material_Artifact_陶器_59_掺杂物,P45_consists_of
Artifact_陶器_60,E25_ManMadeFeature_Artifact_陶器_60_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_60,E57_Material_Artifact_陶器_60_掺杂物,P45_consists_of
Artifact_陶器_60,E12_Production_Artifact_陶器_60,P108_was_produced_by
E12_Production_Artifact_陶器_60,E55_Type_83bfb33b5a,P32_used_specific_technique
Artifact_陶器_61,E25_ManMadeFeature_Artifact_陶器_61_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_61,E57_Material_Artifact_陶器_61_掺杂物,P45_consists_of
Artifact_陶器_61,E12_Production_Artifact_陶器_61,P108_was_produced_by
