START_ID,END_ID,TYPE
period_74b6fb73,site_c81e728d,P7_took_place_at
period_a067345c,site_c81e728d,P7_took_place_at
period_74b6fb73,site_eccbc87e,P7_took_place_at
period_43484b55,site_c4ca4238,P7_took_place_at
period_74b6fb73,site_c4ca4238,P7_took_place_at
period_74b6fb73,site_a87ff679,P7_took_place_at
period_d3afa8f5,site_e4da3b7f,P7_took_place_at
period_8220165c,site_e4da3b7f,P7_took_place_at
period_8220165c,site_e4da3b7f,P7_took_place_at
period_8220165c,site_e4da3b7f,P7_took_place_at
period_74b6fb73,site_c81e728d,P7_took_place_at
period_a067345c,site_c81e728d,P7_took_place_at
period_d3afa8f5,site_e4da3b7f,P7_took_place_at
period_8220165c,site_e4da3b7f,P7_took_place_at
period_8220165c,site_e4da3b7f,P7_took_place_at
period_8220165c,site_e4da3b7f,P7_took_place_at
period_1ee5c7df,site_8f14e45f,P7_took_place_at
period_065c41f8,site_8f14e45f,P7_took_place_at
period_697c5e3e,site_1679091c,P7_took_place_at
period_376de6c3,site_1679091c,P7_took_place_at
period_8d7288e6,site_1679091c,P7_took_place_at
period_caaba1bc,site_1679091c,P7_took_place_at
period_9a91304b,site_1679091c,P7_took_place_at
period_fb477bf0,site_1679091c,P7_took_place_at
period_1adce124,site_1679091c,P7_took_place_at
period_67da62d7,site_1679091c,P7_took_place_at
period_b300e251,site_1679091c,P7_took_place_at
period_d10e0b09,site_1679091c,P7_took_place_at
period_f346ab88,site_1679091c,P7_took_place_at
