id,name,LABEL
type_49823b10,豆,E55_Type
mat_5f6dfeb7,泥质褐胎黑皮陶,E57_Material
type_0f3aa26a,凹弦纹、凸弦纹、长方形镂孔,E55_Type
type_940e72a7,鼎,E55_Type
type_520b2f70,竖向的线条,E55_Type
mat_bf5d86f9,夹砂褐胎黑皮陶,E57_Material
type_21427cf5,罐,E55_Type
mat_aa1d50ef,夹砂灰胎黑皮陶,E57_Material
type_b712c9ad,甑,E55_Type
type_7889e301,竖向线条,E55_Type
mat_48d374b7,夹砂红胎黑皮陶,E57_Material
type_2419889e,长方形镂孔,E55_Type
mat_5d640c38,泥质灰胎黑皮陶,E57_Material
type_4334fc53,陶甑鼎,E55_Type
type_781dfb1f,素面,E55_Type
mat_bb7533b2,夹砂黑胎黑皮陶,E57_Material
type_ff4efcaf,盘,E55_Type
type_d9fee6ba,凸弦纹,E55_Type
type_c6a59806,陶过滤器,E55_Type
mat_92df81bf,泥质灰陶,E57_Material
type_f7de1d81,缸,E55_Type
type_c94a2c8f,粗篮纹,E55_Type
mat_2c2cf701,夹粗砂红陶,E57_Material
type_3e3ead1a,泥质灰陶器,E55_Type
mat_000e0325,夹砂红陶,E57_Material
type_ff5ad7e1,圈足罐,E55_Type
mat_76a99318,夹砂红褐陶,E57_Material
type_3485cee2,陶豆,E55_Type
type_2908fff6,凹弦纹,E55_Type
type_7a56b4ea,圈足盘,E55_Type
mat_7e888ffb,泥质灰胎，外胎为橙黄色,E57_Material
type_8426ccc6,斜向篮纹,E55_Type
mat_3357c26d,夹粗砂褐胎,E57_Material
type_697755e7,平底盘,E55_Type
mat_e03df801,泥质橙红胎黑皮陶,E57_Material
type_f2df3f41,朱色彩绘,E55_Type
mat_858ed3e5,泥质陶,E57_Material
mat_e7c6f48a,泥质橙红陶,E57_Material
type_53aae0fe,不明器种,E55_Type
mat_8d6727fc,夹细砂红陶,E57_Material
mat_3b470c5f,夹粗砂陶,E57_Material
mat_4e7e9a54,夹细砂红褐陶,E57_Material
type_65ebc35d,篮纹,E55_Type
mat_52ac07b9,夹砂陶,E57_Material
mat_644a6c09,夹细砂陶,E57_Material
type_fb94c3ce,凹弦纹，凹弧边三角形和圆形未透镂孔组成的纹带,E55_Type
type_04bd0c61,过滤器,E55_Type
type_2ab47290,陶鼎,E55_Type
type_85d3a0d4,陶甑,E55_Type
mat_dc1f3774,夹细砂,E57_Material
mat_e6968dff,夹粗砂,E57_Material
mat_b8ed7324,泥质黑胎黑皮陶,E57_Material
type_2d6b90ef,大口缸,E55_Type
mat_11582143,夹细砂黑皮陶,E57_Material
type_e88b0ca6,弦纹,E55_Type
mat_9c906731,夹砂黑皮陶,E57_Material
type_44e92372,陶罐,E55_Type
mat_93a1cdc4,泥质黑皮陶,E57_Material
mat_f6c4f722,夹砂褐陶,E57_Material
type_28410f7f,陶大口缸,E55_Type
type_04119f8b,轮制,E55_Type
mat_34fadd68,夹砂黑胎褐陶,E57_Material
type_35ecb309,鼎足残片,E55_Type
type_bc9d903c,甑鼎,E55_Type
type_095c6eab,球形隧孔珠,E55_Type
type_0fa794fd,陶盘,E55_Type
type_fcaf2017,高领罐,E55_Type
type_30db79c5,壶,E55_Type
mat_1b85376a,夹砂黑陶,E57_Material
type_366526c2,竹节状凸棱,E55_Type
type_551ab92c,陶尊,E55_Type
type_bed304e3,"凹弦纹, 扁圆孔",E55_Type
type_9d92e284,宽把杯,E55_Type
type_466e21b6,圆形穿孔,E55_Type
type_0e5a0680,T形足鼎,E55_Type
