START_ID,END_ID,TYPE
obj_bc6a854b,fu_03a77eaa,HAS_FEATURE
obj_bc6a854b,fu_03a77eaa,HAS_FEATURE
obj_bc6a854b,fm_84ceaea3,HAS_METRIC
obj_bc6a854b,fu_30cf29d5,HAS_FEATURE
obj_bc6a854b,fm_3ccecbb0,HAS_METRIC
obj_bc6a854b,fu_30cf29d5,HAS_FEATURE
obj_bc6a854b,fm_793c6374,HAS_METRIC
obj_bc6a854b,fu_30cf29d5,HAS_FEATURE
obj_bc6a854b,fm_30f97aa0,HAS_METRIC
obj_bc6a854b,fu_30cf29d5,HAS_FEATURE
obj_bc6a854b,fm_c4534c8a,HAS_METRIC
obj_bc6a854b,fu_3a0dab02,HAS_FEATURE
obj_bc6a854b,fu_8ab873fb,HAS_FEATURE
obj_bc6a854b,fu_06415dec,HAS_FEATURE
obj_bc6a854b,fu_dd40824a,HAS_FEATURE
obj_bc6a854b,fm_f226427e,HAS_METRIC
obj_bc6a854b,fu_ba68aef9,HAS_FEATURE
obj_bc6a854b,fm_4cf679fd,HAS_METRIC
obj_bc6a854b,fu_ba68aef9,HAS_FEATURE
obj_bc6a854b,fm_9c16e76d,HAS_METRIC
obj_40158645,fu_03a77eaa,HAS_FEATURE
obj_40158645,fu_30cf29d5,HAS_FEATURE
obj_40158645,fm_3ccecbb0,HAS_METRIC
obj_40158645,fu_30cf29d5,HAS_FEATURE
obj_40158645,fm_793c6374,HAS_METRIC
obj_40158645,fu_30cf29d5,HAS_FEATURE
obj_40158645,fm_30f97aa0,HAS_METRIC
obj_40158645,fu_30cf29d5,HAS_FEATURE
obj_40158645,fm_c4534c8a,HAS_METRIC
obj_40158645,fu_3a0dab02,HAS_FEATURE
obj_40158645,fu_06415dec,HAS_FEATURE
obj_40158645,fu_dd40824a,HAS_FEATURE
obj_40158645,fm_f226427e,HAS_METRIC
obj_40158645,fu_ba68aef9,HAS_FEATURE
obj_40158645,fm_4cf679fd,HAS_METRIC
obj_40158645,fu_ba68aef9,HAS_FEATURE
obj_40158645,fm_9c16e76d,HAS_METRIC
obj_40158645,fu_88f8f98c,HAS_FEATURE
obj_0d1ff9f8,fu_03a77eaa,HAS_FEATURE
obj_0d1ff9f8,fu_30cf29d5,HAS_FEATURE
obj_0d1ff9f8,fm_3ccecbb0,HAS_METRIC
