START_ID,END_ID,TYPE
obj_bc6a854b,mat_5f6dfeb7,P45_consists_of
obj_bc6a854b,type_49823b10,P2_has_type
obj_bc6a854b,type_49823b10,P2_has_type
obj_bc6a854b,type_49823b10,P2_has_type
obj_bc6a854b,dim_172ade41,P43_has_dimension
obj_40158645,mat_5f6dfeb7,P45_consists_of
obj_40158645,type_49823b10,P2_has_type
obj_40158645,type_49823b10,P2_has_type
obj_40158645,dim_51878110,P43_has_dimension
obj_0d1ff9f8,mat_bf5d86f9,P45_consists_of
obj_0d1ff9f8,type_940e72a7,P2_has_type
obj_0d1ff9f8,type_940e72a7,P2_has_type
obj_0d1ff9f8,dim_e0ef5554,P43_has_dimension
obj_4f3f5d7b,mat_aa1d50ef,P45_consists_of
obj_4f3f5d7b,type_21427cf5,P2_has_type
obj_4f3f5d7b,type_21427cf5,P2_has_type
obj_4f3f5d7b,dim_2211078e,P43_has_dimension
obj_263a642d,type_940e72a7,P2_has_type
obj_263a642d,type_940e72a7,P2_has_type
obj_86575ed4,type_b712c9ad,P2_has_type
obj_86575ed4,type_b712c9ad,P2_has_type
obj_c74ed280,type_49823b10,P2_has_type
obj_c74ed280,type_49823b10,P2_has_type
obj_d350f13f,mat_48d374b7,P45_consists_of
obj_d350f13f,type_940e72a7,P2_has_type
obj_d350f13f,type_940e72a7,P2_has_type
obj_d350f13f,dim_8e1b40ae,P43_has_dimension
obj_d350f13f,type_1ae4502f,P103_was_intended_for
obj_e375b534,mat_48d374b7,P45_consists_of
obj_e375b534,type_b712c9ad,P2_has_type
obj_e375b534,type_b712c9ad,P2_has_type
obj_e375b534,dim_142a3ddb,P43_has_dimension
obj_e375b534,type_1ae4502f,P103_was_intended_for
obj_ffdc5992,mat_5d640c38,P45_consists_of
obj_ffdc5992,type_49823b10,P2_has_type
obj_ffdc5992,type_49823b10,P2_has_type
obj_ffdc5992,dim_413202c8,P43_has_dimension
obj_ffdc5992,type_9b144005,P103_was_intended_for
obj_77c00240,mat_bb7533b2,P45_consists_of
obj_77c00240,type_4334fc53,P2_has_type
obj_77c00240,type_4334fc53,P2_has_type
obj_77c00240,mat_726b3299,P45_consists_of
obj_77c00240,dim_ddd90d1d,P43_has_dimension
obj_114acdf3,mat_5f6dfeb7,P45_consists_of
obj_114acdf3,type_ff4efcaf,P2_has_type
obj_114acdf3,type_ff4efcaf,P2_has_type
obj_114acdf3,dim_c85c169b,P43_has_dimension
obj_de80f73c,mat_bb7533b2,P45_consists_of
obj_de80f73c,type_c6a59806,P2_has_type
obj_de80f73c,type_c6a59806,P2_has_type
obj_de80f73c,mat_726b3299,P45_consists_of
obj_de80f73c,dim_51878ea6,P43_has_dimension
obj_1cf69c8f,mat_92df81bf,P45_consists_of
obj_1cf69c8f,type_49823b10,P2_has_type
obj_1cf69c8f,type_49823b10,P2_has_type
obj_8bdec351,mat_2c2cf701,P45_consists_of
obj_8bdec351,type_f7de1d81,P2_has_type
obj_8bdec351,type_f7de1d81,P2_has_type
obj_038236eb,mat_92df81bf,P45_consists_of
obj_038236eb,type_3e3ead1a,P2_has_type
obj_038236eb,type_3e3ead1a,P2_has_type
obj_c39a55e6,mat_000e0325,P45_consists_of
obj_c39a55e6,type_940e72a7,P2_has_type
obj_c39a55e6,type_940e72a7,P2_has_type
obj_a7bb0421,mat_5d640c38,P45_consists_of
obj_a7bb0421,type_49823b10,P2_has_type
obj_a7bb0421,type_49823b10,P2_has_type
obj_a7bb0421,type_49823b10,P2_has_type
obj_a7bb0421,dim_64844d2b,P43_has_dimension
obj_bd04a58b,mat_000e0325,P45_consists_of
obj_bd04a58b,type_ff5ad7e1,P2_has_type
obj_bd04a58b,type_ff5ad7e1,P2_has_type
obj_1265086a,mat_000e0325,P45_consists_of
obj_1265086a,type_940e72a7,P2_has_type
obj_1265086a,type_940e72a7,P2_has_type
obj_016fa9ea,mat_5d640c38,P45_consists_of
obj_016fa9ea,type_49823b10,P2_has_type
obj_016fa9ea,type_49823b10,P2_has_type
obj_598b0074,mat_76a99318,P45_consists_of
obj_598b0074,type_940e72a7,P2_has_type
obj_598b0074,type_940e72a7,P2_has_type
obj_598b0074,mat_726b3299,P45_consists_of
obj_598b0074,type_1ae4502f,P103_was_intended_for
obj_ccdcaacc,mat_92df81bf,P45_consists_of
obj_ccdcaacc,type_49823b10,P2_has_type
obj_ccdcaacc,type_49823b10,P2_has_type
obj_ccdcaacc,dim_aec1d62a,P43_has_dimension
obj_ccdcaacc,type_c046c298,P103_was_intended_for
obj_2e04861d,mat_000e0325,P45_consists_of
obj_2e04861d,type_ff5ad7e1,P2_has_type
obj_2e04861d,type_ff5ad7e1,P2_has_type
obj_2e04861d,mat_726b3299,P45_consists_of
obj_6fbd683e,mat_2c2cf701,P45_consists_of
obj_6fbd683e,type_f7de1d81,P2_has_type
obj_6fbd683e,type_f7de1d81,P2_has_type
obj_6fbd683e,mat_25685433,P45_consists_of
obj_343aaa04,mat_5d640c38,P45_consists_of
obj_343aaa04,type_3485cee2,P2_has_type
obj_343aaa04,type_3485cee2,P2_has_type
obj_343aaa04,type_49823b10,P2_has_type
