START_ID,END_ID,TYPE
obj_77b1f2e9,struct_ff71e9c0,P53_has_former_or_current_location
obj_6f936f93,struct_ff71e9c0,P53_has_former_or_current_location
obj_49f68871,struct_ff71e9c0,P53_has_former_or_current_location
obj_989e3c5b,struct_cac23452,P53_has_former_or_current_location
obj_9dda52ee,struct_cac23452,P53_has_former_or_current_location
obj_0433a922,struct_cac23452,P53_has_former_or_current_location
obj_9be064b2,struct_1e269410,P53_has_former_or_current_location
obj_7479f56a,struct_1e269410,P53_has_former_or_current_location
obj_640adc8e,struct_1e269410,P53_has_former_or_current_location
obj_2e587557,struct_86bdefd7,P53_has_former_or_current_location
obj_38564e22,struct_35e08bb3,P53_has_former_or_current_location
obj_71f767f8,struct_35e08bb3,P53_has_former_or_current_location
obj_fc265042,struct_35e08bb3,P53_has_former_or_current_location
obj_320fe18f,struct_15f1d90f,P53_has_former_or_current_location
obj_c5026e70,struct_15f1d90f,P53_has_former_or_current_location
obj_6e44e3c8,struct_15f1d90f,P53_has_former_or_current_location
obj_f1d5ed9a,struct_20509b9c,P53_has_former_or_current_location
obj_4a853692,struct_20509b9c,P53_has_former_or_current_location
obj_34a98bbc,struct_20509b9c,P53_has_former_or_current_location
obj_ac3d2490,struct_20509b9c,P53_has_former_or_current_location
obj_29066bf0,struct_20509b9c,P53_has_former_or_current_location
obj_9374e3ac,struct_65b4dab3,P53_has_former_or_current_location
obj_e35dd82d,struct_65b4dab3,P53_has_former_or_current_location
obj_b21ca79b,struct_65b4dab3,P53_has_former_or_current_location
obj_6f2efee9,struct_a73b94ea,P53_has_former_or_current_location
obj_f4d7a497,struct_a73b94ea,P53_has_former_or_current_location
obj_3cfd0d28,struct_a73b94ea,P53_has_former_or_current_location
obj_06f1a176,struct_dce77f5d,P53_has_former_or_current_location
obj_9f786119,struct_dce77f5d,P53_has_former_or_current_location
obj_f4b65324,struct_dce77f5d,P53_has_former_or_current_location
obj_3e863b9b,struct_427d2d35,P53_has_former_or_current_location
obj_b7b65c77,struct_f6ed0e31,P53_has_former_or_current_location
obj_3bc22d44,struct_f6ed0e31,P53_has_former_or_current_location
obj_3562d9f0,struct_cd492951,P53_has_former_or_current_location
obj_8b3811cc,struct_cd492951,P53_has_former_or_current_location
obj_2cc1d7c7,struct_cd492951,P53_has_former_or_current_location
obj_766c8678,struct_7d95e65f,P53_has_former_or_current_location
obj_4006ab9d,struct_7d95e65f,P53_has_former_or_current_location
obj_4748c8cc,struct_7d95e65f,P53_has_former_or_current_location
obj_72e71c84,struct_a025ea89,P53_has_former_or_current_location
obj_63c265f7,struct_a025ea89,P53_has_former_or_current_location
obj_1c380cf9,struct_a025ea89,P53_has_former_or_current_location
obj_5ab2db3e,struct_07a2c961,P53_has_former_or_current_location
obj_32deb21e,struct_07a2c961,P53_has_former_or_current_location
obj_f06abd17,struct_07a2c961,P53_has_former_or_current_location
obj_2aa5c626,struct_a4aecd07,P53_has_former_or_current_location
obj_49de22f5,struct_a4aecd07,P53_has_former_or_current_location
obj_be50faf5,struct_1edc519d,P53_has_former_or_current_location
