START_ID,END_ID,TYPE
prod_f97fac56,type_87f90d38,P32
prod_5f12f7e3,type_6d5264ec,P32
prod_5f12f7e3,type_87f90d38,P32
prod_38ba7c30,type_60ce33c2,P32
prod_d9d2f696,type_6d5264ec,P32
prod_ceaf0bd1,type_87f90d38,P32
prod_da39082b,type_2b5b9c24,P32
prod_3a8749bd,type_079ee7f1,P32
prod_3898f17f,type_2b5b9c24,P32
prod_8565496e,type_2b5b9c24,P32
prod_fbab918f,type_87f90d38,P32
prod_b149a063,type_2b5b9c24,P32
prod_9e354633,type_87f90d38,P32
prod_eea36d5e,type_83bfb33b,P32
prod_73018485,type_83bfb33b,P32
prod_ad77dd93,type_83bfb33b,P32
prod_d7054ceb,type_096db2a8,P32
prod_0edc2c51,type_079ee7f1,P32
prod_1ec122d8,type_71f4e91d,P32
prod_b4eeef63,type_c67c74d4,P32
prod_3d1a0417,type_c67c74d4,P32
prod_c91163cf,type_04119f8b,P32
prod_8660b34e,type_3c2d2ad3,P32
prod_3c8604d6,type_6d5264ec,P32
prod_bf2d5448,type_6d5264ec,P32
prod_d388e542,type_82dd437e,P32
prod_4d41353e,type_30c7b4d7,P32
prod_d2eeb21d,type_82dd437e,P32
prod_447a9b9d,type_07ea60da,P32
prod_88b2ba6c,type_799f2114,P32
prod_a67d8579,type_60ce33c2,P32
prod_49973a93,type_48060383,P32
prod_29a5e960,type_48060383,P32
prod_df5110f8,type_d49dc1c4,P32
prod_b4b2cb28,type_82dd437e,P32
prod_be7361c8,type_82dd437e,P32
prod_68001a4e,type_30c7b4d7,P32
prod_f04fb8d7,type_82dd437e,P32
prod_7bb82fc1,type_82dd437e,P32
prod_52b95f5f,type_87f90d38,P32
prod_70964a33,type_87f90d38,P32
prod_67fa6f30,type_87f90d38,P32
prod_e28f218b,type_87f90d38,P32
prod_8becf961,type_87f90d38,P32
prod_c66032ad,type_87f90d38,P32
prod_731ee631,type_87f90d38,P32
prod_e1aee157,type_87f90d38,P32
prod_8a39ce54,type_87f90d38,P32
prod_6a1b9c64,type_87f90d38,P32
prod_18f9d990,type_d49dc1c4,P32
prod_2312409e,type_d49dc1c4,P32
prod_144fa656,type_d49dc1c4,P32
prod_91a80f4f,type_d49dc1c4,P32
prod_9ae8c8a6,type_eafbece1,P32
prod_22f42a67,type_d49dc1c4,P32
prod_4e7a7b9f,type_d49dc1c4,P32
prod_40e48eb1,type_07ea60da,P32
prod_2c98f18c,type_d49dc1c4,P32
prod_5dcc7209,type_e3f44010,P32
prod_f53d8118,type_82dd437e,P32
prod_dc7b7e08,type_82dd437e,P32
prod_9a8ad3fd,type_82dd437e,P32
prod_57c2cc88,type_82dd437e,P32
prod_40cbb668,type_82dd437e,P32
prod_adbf6b48,type_82dd437e,P32
prod_fe4962bd,type_07ea60da,P32
prod_8fbaa4ff,type_d7efbf1c,P32
prod_56cde6fe,type_08852216,P32
prod_d6a4624f,type_87f90d38,P32
prod_c78dfef7,type_87f90d38,P32
prod_95fa865d,type_87f90d38,P32
prod_54e64466,type_87f90d38,P32
prod_1f0bca3e,type_87f90d38,P32
prod_d99a3a64,type_87f90d38,P32
prod_54f05840,type_87f90d38,P32
prod_e8953c6e,type_87f90d38,P32
prod_20b20cd2,type_87f90d38,P32
prod_e382ce9a,type_d49dc1c4,P32
prod_b6c4476f,type_87f90d38,P32
prod_50b91704,type_c4b619a7,P32
prod_05f009c5,type_91c80b26,P32
prod_a776e171,type_87f90d38,P32
prod_3b347054,type_87f90d38,P32
prod_da426cf6,type_07ea60da,P32
prod_d1582848,type_48865d11,P32
prod_78e1575c,type_87f90d38,P32
prod_f1c8ff0b,type_b8fa3d8b,P32
prod_647019fd,type_07e61636,P32
prod_7ee76744,type_8edb541f,P32
prod_deba0e50,type_8edb541f,P32
prod_e1235eae,type_8edb541f,P32
prod_d9d20248,type_8edb541f,P32
prod_ba22e89a,type_8edb541f,P32
prod_abd59cb7,type_8edb541f,P32
prod_ab452d98,type_05eb1bb3,P32
prod_ab452d98,type_386982bc,P32
prod_f73119ca,type_3ca92a73,P32
prod_f73119ca,type_57e1dc37,P32
prod_ba87598b,type_3ca92a73,P32
prod_ba87598b,type_57e1dc37,P32
prod_84d932ae,type_3ca92a73,P32
prod_84d932ae,type_57e1dc37,P32
prod_5daf5cd3,type_717e0abf,P32
prod_724c388c,type_9a464b62,P32
prod_61beab0d,type_b1e6244b,P32
prod_d519c993,type_8bf187c3,P32
prod_2233d726,type_3987f69d,P32
prod_d83a93d3,type_8bf187c3,P32
prod_f7801da7,type_b1e6244b,P32
prod_2715cb43,type_8bf187c3,P32
prod_f2435ce7,type_c4b619a7,P32
prod_033fd304,type_87f90d38,P32
prod_04b74cc0,type_87f90d38,P32
prod_68832567,type_8b6e1dd4,P32
prod_a98b1c97,type_87f90d38,P32
prod_7ff5ab3b,type_87f90d38,P32
prod_4801ccdc,type_e3f44010,P32
prod_eed6a37c,type_87f90d38,P32
prod_e343dad4,type_87f90d38,P32
prod_ec7230c5,type_87f90d38,P32
prod_680999bf,type_87f90d38,P32
prod_9ffc2139,type_87f90d38,P32
prod_c6cd7ccd,type_87f90d38,P32
prod_9c22202b,type_87f90d38,P32
prod_749b051f,type_87f90d38,P32
prod_0b0b269b,type_87f90d38,P32
prod_6151205b,type_9a464b62,P32
prod_c20bb09c,type_9a464b62,P32
prod_7e1143ac,type_712d4396,P32
prod_a5a858d0,type_87f90d38,P32
prod_fef0076a,type_04119f8b,P32
prod_fef0076a,type_87f90d38,P32
prod_47a30afd,type_2b5b9c24,P32
prod_47a30afd,type_87f90d38,P32
prod_cee2336d,type_87f90d38,P32
prod_752f5213,type_04119f8b,P32
prod_752f5213,type_46f48820,P32
prod_83cdbbd6,type_8a840d7c,P32
prod_43f8331d,type_13810407,P32
prod_88ed7b20,type_46f48820,P32
prod_cab4561b,type_46f48820,P32
prod_928d8007,type_46f48820,P32
prod_9e8a34de,type_8a840d7c,P32
prod_63bf2632,type_2088277c,P32
prod_471d2685,type_7e6273d4,P32
prod_90a6389d,type_e3f44010,P32
prod_5b00d8f7,type_d989e2ed,P32
prod_052936f7,type_87f90d38,P32
prod_facf571b,type_87f90d38,P32
prod_4ca27ed2,type_87f90d38,P32
prod_3264f939,type_87f90d38,P32
prod_03ef1f0b,type_87f90d38,P32
prod_cbb24635,type_87f90d38,P32
prod_5b562b06,type_87f90d38,P32
prod_f907df0f,type_87f90d38,P32
prod_4ab81b9a,type_541230b2,P32
prod_52e6d858,type_1618a716,P32
prod_7c25d1c4,type_87f90d38,P32
prod_583ab344,type_87f90d38,P32
prod_e4afb8d0,type_87f90d38,P32
prod_a5120a9d,type_71f4e91d,P32
prod_6095532e,type_87f90d38,P32
prod_051a9391,type_87f90d38,P32
prod_a8b04518,type_87f90d38,P32
prod_510b50f6,type_87f90d38,P32
prod_da99c6d4,type_87f90d38,P32
prod_a24d2e51,type_87f90d38,P32
prod_dcd53f6a,type_87f90d38,P32
prod_569d1e2b,type_1986a054,P32
prod_da7e9cbc,type_87f90d38,P32
prod_8cd94252,type_87f90d38,P32
prod_7399d006,type_87f90d38,P32
prod_4dda8c80,type_87f90d38,P32
prod_b03c0c57,type_87f90d38,P32
prod_620a5f3c,type_87f90d38,P32
prod_3349fe23,type_87f90d38,P32
prod_506dacdd,type_87f90d38,P32
prod_8b140c24,type_87f90d38,P32
prod_04ff2331,type_87f90d38,P32
prod_8ed29cb9,type_87f90d38,P32
prod_e4dc3e5d,type_87f90d38,P32
prod_9b469b11,type_da77b9af,P32
prod_415d3996,type_77e49727,P32
prod_28b08c59,type_77e49727,P32
prod_39ca21a7,type_87f90d38,P32
prod_8451dd1b,type_2088277c,P32
prod_42977a9d,type_04eb5562,P32
prod_72bcb8c9,type_77e49727,P32
prod_6b9b172c,type_04eb5562,P32
prod_3644ff92,type_f1b7ae4d,P32
prod_3644ff92,type_87f90d38,P32
prod_c62c0757,type_77e49727,P32
prod_2f9c5328,type_04eb5562,P32
prod_dbcbe31f,type_2088277c,P32
prod_58783256,type_46f48820,P32
prod_999ea28e,type_46f48820,P32
prod_30ae9cad,type_079ee7f1,P32
prod_9057b113,type_079ee7f1,P32
prod_c802c12f,type_234619b5,P32
prod_9badedae,type_a74c2d26,P32
prod_bbf011bd,type_bbc3fa0b,P32
prod_6da8e96e,type_19ac677a,P32
prod_7e82077e,type_19ac677a,P32
prod_b48268b1,type_3ca92a73,P32
prod_b39c2a31,type_3ca92a73,P32
prod_a74d3ff9,type_01a0cbe7,P32
prod_a0af4aca,type_c52f2896,P32
prod_ec545462,type_04119f8b,P32
prod_4b9864c7,type_85f934e6,P32
prod_3704cc4b,type_85f934e6,P32
prod_0eb3a335,type_a150dfb4,P32
prod_ad124a79,type_87f90d38,P32
prod_699adc57,type_60ce33c2,P32
prod_a9ceba97,type_87f90d38,P32
prod_d0ae552a,type_87f90d38,P32
prod_cdf4ff09,type_87f90d38,P32
prod_083e1863,type_87f90d38,P32
prod_327507e7,type_87f90d38,P32
prod_5e4beb4e,type_87f90d38,P32
prod_acbe2cf2,type_87f90d38,P32
prod_2ac7ebe0,type_87f90d38,P32
prod_a3111ad5,type_87f90d38,P32
prod_331846e6,type_87f90d38,P32
prod_25dd2d17,type_4f4c90d1,P32
prod_b8b20b6b,type_e3f44010,P32
prod_5ac8bc18,type_8b6e1dd4,P32
prod_33de2a87,type_8b6e1dd4,P32
prod_4252342c,type_8b6e1dd4,P32
prod_8d38674f,type_85f934e6,P32
prod_7a770b76,type_e3f44010,P32
prod_951c08d8,type_87f90d38,P32
prod_956ddae3,type_87f90d38,P32
prod_b25eabbd,type_87f90d38,P32
prod_c8e81ba6,type_8b6e1dd4,P32
prod_916b7a8a,type_8b6e1dd4,P32
prod_d192b81c,type_8b6e1dd4,P32
prod_97f54eba,type_87f90d38,P32
prod_9607c6eb,type_8b6e1dd4,P32
prod_8e73cfd4,type_e3f44010,P32
prod_fd8f6c08,type_475fff1b,P32
prod_75b6f6fb,type_c4b619a7,P32
prod_e182eb87,type_475fff1b,P32
prod_017a530a,type_1fba230f,P32
prod_b8104f18,type_a5e0514f,P32
prod_d5143d43,type_c4b619a7,P32
prod_9336b5c4,type_c4b619a7,P32
prod_54420f36,type_c4b619a7,P32
prod_fd7ab1b5,type_475fff1b,P32
prod_4afd4f49,type_72f9cb88,P32
prod_151ae7c8,type_95c08892,P32
prod_d51c0281,type_95c08892,P32
prod_d3748f58,type_87f90d38,P32
prod_1ffae7e4,type_87f90d38,P32
prod_9596e0a0,type_87f90d38,P32
prod_c12a4020,type_87f90d38,P32
prod_86627b0e,type_87f90d38,P32
prod_93cb045d,type_87f90d38,P32
prod_c3ca54e4,type_e3f44010,P32
prod_9240c17f,type_7a067881,P32
prod_2d6225c4,type_87f90d38,P32
prod_d6f3517a,type_e3f44010,P32
prod_e9637522,type_87f90d38,P32
prod_781a8068,type_e3f44010,P32
prod_9c402b2c,type_e3f44010,P32
prod_4f0e9b97,type_87f90d38,P32
prod_cd7b40b5,type_87f90d38,P32
prod_bfb117a0,type_87f90d38,P32
prod_fcd68231,type_87f90d38,P32
prod_8e73c8ec,type_87f90d38,P32
prod_0dcdbe45,type_87f90d38,P32
prod_d3150857,type_87f90d38,P32
prod_f344c701,type_9a464b62,P32
prod_bc533d5f,type_9a464b62,P32
prod_41e84ba2,type_9a464b62,P32
prod_7860257d,type_9a464b62,P32
prod_1995f928,type_9a464b62,P32
prod_da1a459e,type_9a464b62,P32
prod_ac35e2d1,type_9a464b62,P32
prod_dbd604e0,type_9a464b62,P32
prod_3c06d072,type_9a464b62,P32
prod_caa91bf6,type_9a464b62,P32
prod_86cd4750,type_712d4396,P32
prod_3d31a480,type_87f90d38,P32
prod_e51f1136,type_8aa6a27e,P32
prod_d268e723,type_87f90d38,P32
prod_6a92914a,type_87f90d38,P32
prod_2331b6d8,type_87f90d38,P32
prod_ace95614,type_9a464b62,P32
prod_9fcee874,type_9a464b62,P32
prod_1b2c813b,type_87f90d38,P32
prod_37782b52,type_87f90d38,P32
prod_4804c954,type_87f90d38,P32
prod_1a9baafa,type_e3f44010,P32
prod_f8657eaf,type_b025f5ed,P32
prod_590b58e1,type_b025f5ed,P32
prod_841bc5fd,type_87f90d38,P32
prod_7591632b,type_87f90d38,P32
prod_85d21455,type_87f90d38,P32
prod_5f6d7c18,type_87f90d38,P32
prod_382d50cf,type_87f90d38,P32
prod_84d36d51,type_87f90d38,P32
prod_4b2b4250,type_87f90d38,P32
prod_c77b6e4a,type_87f90d38,P32
prod_17050025,type_87f90d38,P32
prod_a5c0f60c,type_87f90d38,P32
prod_bd138d20,type_fe8d772c,P32
prod_5f0fbb21,type_87f90d38,P32
prod_0f66ae94,type_87f90d38,P32
prod_3bf14af8,type_0dfe8153,P32
prod_9e9b0e65,type_2576c294,P32
prod_78ad974c,type_87f90d38,P32
prod_ff76bcd9,type_87f90d38,P32
prod_d4c1a903,type_87f90d38,P32
prod_099babc0,type_87f90d38,P32
prod_8bf56a24,type_87f90d38,P32
prod_7cdc3fd4,type_87f90d38,P32
prod_15e1f6e2,type_5f71203f,P32
prod_5ff6e559,type_c67c74d4,P32
prod_5ff6e559,type_c67c74d4,P32
prod_caa2ce2e,type_87f90d38,P32
prod_7a8c5b49,type_3ca92a73,P32
prod_682e872c,type_19e41de9,P32
