id,raw,numeric,unit,LABEL
fv_bf5bedfc,豆,,,FeatureValue
fv_d8f7be56,豆,,,FeatureValue
fv_2fbb5472,M15,,,FeatureValue
fv_0e1fb195,反山,,,FeatureValue
fv_45c528b9,M15,,,FeatureValue
fv_e17fe9f5,M15,,,FeatureValue
fv_eda8d67c,泥质褐胎黑皮陶,,,FeatureValue
fv_8a970c35,褐胎黑皮,,,FeatureValue
fv_891327df,敞口，浅盘，腹壁较直，腹外壁有一周较宽的凸起，喇叭形圈足 | 口沿略向外翻卷，浅盘，腹底向内折收，交接处均有一周凹棱；喇叭形大圈足较粗，中段有一组或二组凸弦纹，弦纹之间等距饰三个或四个扁方形小镂孔,,,FeatureValue
fv_eff5b24e,口径21.2、高11、圈足径16.6厘米,,,FeatureValue
fv_2294fcdd,11.3,11.3,,FeatureValue
fv_c4b9d1d3,21.2,21.2,,FeatureValue
fv_8e8c5507,反山十二号墓,,,FeatureValue
fv_30a124b9,M18,,,FeatureValue
fv_35a722b3,M18,,,FeatureValue
fv_e3c0bc12,敞口，浅盘，折腹，大喇叭形圈足，腹与盘底相接处有一周凹弦纹，圈足上有两组凸弦纹，其间相杂3个长方形镂孔 | 口沿略向外翻卷，浅盘，腹底向内折收，交接处均有一周凹棱；喇叭形大圈足较粗，中段有一组或二组凸弦纹，弦纹之间等距饰六个镂孔，错位分列两道弦纹之间,,,FeatureValue
fv_0714e1e3,口径20.4、高13.7、圈足径15.2厘米,,,FeatureValue
fv_6d460090,13.7,13.7,,FeatureValue
fv_fd69851b,20.4,20.4,,FeatureValue
fv_51bde1ef,凹弦纹、凸弦纹、长方形镂孔,,,FeatureValue
fv_0a66730e,鼎,,,FeatureValue
fv_688815af,M20,,,FeatureValue
fv_e9d94b3c,M20,,,FeatureValue
fv_525d814a,十二号墓,,,FeatureValue
fv_5160db7b,夹砂褐胎黑皮陶,,,FeatureValue
fv_953c5bba,侈口，鼓腹，三个扁侧足,,,FeatureValue
fv_2f228855,通高约18.5、口径约14.3厘米,,,FeatureValue
fv_b0f4d6cb,18.5,18.5,,FeatureValue
fv_91d8ef2a,14.3,14.3,,FeatureValue
fv_35534392,刻划,,,FeatureValue
fv_4c38d378,竖向的线条,,,FeatureValue
fv_a91e48c6,罐,,,FeatureValue
fv_fb554dce,夹砂灰胎黑皮陶,,,FeatureValue
fv_1b14d2f8,灰胎黑皮,,,FeatureValue
fv_b20e261f,敞口，溜肩，鼓腹，矮圈足略外撇,,,FeatureValue
fv_149cc54f,通高18.5、口径14.4厘米,,,FeatureValue
fv_c2e6bd44,14.4,14.4,,FeatureValue
fv_2be247bb,反山M22,,,FeatureValue
fv_1a438e65,M22,,,FeatureValue
fv_69c11441,全文,,,FeatureValue
fv_b77ab57f,陶甑鼎,,,FeatureValue
fv_a7c955b7,甑,,,FeatureValue
fv_6ec349fb,M22,,,FeatureValue
fv_a84de8fb,夹砂红胎黑皮陶,,,FeatureValue
fv_6df4031d,红胎黑皮,,,FeatureValue
fv_cdf91b23,敞口，鼓腹，圜底，鱼鳍形足 | 敞口，圆唇，鼓腹，圜底,,,FeatureValue
fv_a948d778,甑鼎组合,,,FeatureValue
fv_3ccada06,通高约16、口径14.5厘米,,,FeatureValue
fv_6bc6018f,16.0,16.0,,FeatureValue
fv_5e56fd6a,14.5,14.5,,FeatureValue
fv_3a06c978,炊煮,,,FeatureValue
fv_707c7857,抹光,,,FeatureValue
fv_8a85c25e,竖向线条,,,FeatureValue
fv_f336e379,敞口，深腹，腹较直，底部有一不甚圆整的大孔 | 敞口，深腹，腹较直，略外鼓，下腹弧收成平圜底，底部中间有一不甚圆整的大孔,,,FeatureValue
fv_92d09ad9,通高约9.5、口径约18厘米，甑孔直径约8厘米,,,FeatureValue
fv_4c30c088,9.5,9.5,,FeatureValue
fv_2a2833ed,18.0,18.0,,FeatureValue
fv_dbdfd35e,泥质灰胎黑皮陶,,,FeatureValue
fv_10a2bf1d,口沿略向外翻卷，浅盘，腹底向内折收，交接处有一周凹棱，喇叭形大圈足，中间有一周凸弦纹，弦纹上有3个等距的长方形镂孔 | 口沿略向外翻卷，浅盘，腹底向内折收，交接处均有一周凹棱；喇叭形大圈足较粗，中段有一组或二组凸弦纹，弦纹之间等距饰三个扁方形小镂孔,,,FeatureValue
fv_ad88d31c,通高约15.5、口径25.6、足径19.2厘米,,,FeatureValue
fv_2d179d77,15.5,15.5,,FeatureValue
fv_41d22e67,25.6,25.6,,FeatureValue
fv_e8fc55f9,礼器,,,FeatureValue
fv_c063ee01,镂空,,,FeatureValue
fv_fe53f186,长方形镂孔,,,FeatureValue
fv_e325b88d,陶甑鼎,,,FeatureValue
fv_a5323369,M23,,,FeatureValue
fv_730acaf1,M23,,,FeatureValue
fv_56789ae1,夹砂黑胎黑皮陶,,,FeatureValue
fv_c69dc40d,砂,,,FeatureValue
fv_6295a5df,黑皮,,,FeatureValue
fv_38183ec1,敞口，腹较直，圜底近平，甑底镂一小孔，器外两侧各施一小蠡 | 敞口，圆唇，鼓腹，圜底,,,FeatureValue
fv_843bcc87,口径10.4、通高10.6厘米,,,FeatureValue
fv_0a10db66,10.6,10.6,,FeatureValue
fv_53b4fb6d,11.5,11.5,,FeatureValue
fv_46bf33e0,素面,,,FeatureValue
fv_8f8eb1b9,盘,,,FeatureValue
