id,name,type,LABEL
struct_0543ae59,墓地,墓地,E53_Place
struct_ff71e9c0,M1,墓地,E53_Place
struct_cac23452,M2,墓地,E53_Place
struct_1e269410,M3,墓地,E53_Place
struct_86bdefd7,M4,墓地,E53_Place
struct_35e08bb3,M5,墓地,E53_Place
struct_15f1d90f,M6,墓地,E53_Place
struct_20509b9c,M7,墓地,E53_Place
struct_65b4dab3,M8,墓地,E53_Place
struct_a73b94ea,M9,墓地,E53_Place
struct_dce77f5d,M10,墓地,E53_Place
struct_427d2d35,M11,墓地,E53_Place
struct_f6ed0e31,M12,墓地,E53_Place
struct_cd492951,M13,墓地,E53_Place
struct_7d95e65f,M14,墓地,E53_Place
struct_a025ea89,M15,墓地,E53_Place
struct_07a2c961,M16,墓地,E53_Place
struct_a4aecd07,M17,墓地,E53_Place
struct_1edc519d,M18,墓地,E53_Place
struct_2632bd54,M32,墓地,E53_Place
struct_77014c4e,M1-M31,墓地,E53_Place
struct_5a124c0c,北部土墩墓葬,墓地,E53_Place
