事物类型,"文化特征单元 CAU
（Culture Attributes Unit）",CAU ID,文化特征单元定义（CAU Definition）,一级指标,二级指标,三级指标,值类型,索引/主键,抽取值字典/定义,原文描述/术语示例,原文描述转写示例,同义词示例
玉器 jade,人工物品编号,ObjectIdentifier,记录其唯一的编号。,人工物品编号,\,\,文本,是,"原文描述，形如：M4:17，或M5:20-3
*此项必须具备值",,,
玉器 jade,器物名称,JadeName,记录对某一具体陶器个体所使用的名称或称谓。该名称作为识别性标签，用于指代该陶器本身，而不等同于其器型分类、功能类别或文化属性。,器物名称,\,\,文本,,描述原文，如无相关内容则为null,,提取原文描述,
玉器 jade,子区域编号或名称,SubAreaIdentifier,区域的编号或名称,子区域名称,\,\,文本,是,出土的遗址中的子区域名称，如无则为null,,提取原文描述,
玉器 jade,,,,子区域编号,\,\,文本,是,出土的遗址中的子区域编号，如无则为null,,提取原文描述,
玉器 jade,出土遗址,FromSite,记录文物出土的遗址名称,遗址名称,\,\,文本,是,"出土的遗址名称
*此项必须具备值",盘龙山一期、反山遗址,提取原文描述,
玉器 jade,原位遗迹实体,HumanMadeFeature,人类活动形成、并且不可在不破坏其整体性的情况下被移动的空间性特征,出土人造单元,\,\,文本,是,"出土的人造单元名称或编号
*此项必须具备值","M12,、十二号墓",提取原文描述,
玉器 jade,玉器类别,JadeObjectType,"按玉器的整体功能、形制传统和使用情境，对单件或一组玉器进行的上位分类体系，包括礼器类、佩饰类、兵器仪仗类、工具类、端饰类等。
(注意：优先填写最细粒度的子指标，仅在无法确定子类型时填写此项)",类别族 Category Family,\,\,属性族,,"JCF01：Personal ornaments 佩饰类
JCF02：Ritual jades 玉礼器
JCF03：Weapons & insignia 兵器仪仗类
JCF04：Tools & implements 工具类
JCF05：Decorative fittings	端饰类（器物端部/构件装饰）
JCF06：Inlay & composite parts 镶嵌件/嵌玉漆器部件
JCF07：Funerary objects 丧葬类
JCF08：Domestic utensils 生活用具
JCF09：Status & authority symbols 身份象征
JCF10：Other 其他
JC11：Unknown 未知","佩饰类、兵器仪仗类、
玉礼器、工具类、端饰类、镶嵌件 / 嵌玉漆器、丧葬类、生活用具、身份象征、其他 / 未知",丧葬类 -> JCF07; 佩饰类 -> JCF01; 兵器仪仗类 -> JCF03; 其他 / 未知 -> JCF10; 工具类 -> JCF04; 玉礼器 -> JCF02; 生活用具 -> JCF08; 端饰类 -> JCF05; 身份象征 -> JCF09; 镶嵌件 / 嵌玉漆器 -> JCF06; 佩饰->JCF01; 佩饰类->JCF01; 玉礼器->JCF02; 兵器仪仗->JCF03; 兵器仪仗类->JCF03; 工具->JCF04; 工具类->JCF04; 端饰->JCF05; 端饰类->JCF05; 构件装饰->JCF05,"端饰类: 构件装饰; 镶嵌件: 嵌玉漆器部件, 镶嵌件 / 嵌玉漆器; 其他: 其他 / 未知; 未知: 其他 / 未知; 佩饰类: Personal ornaments; 玉礼器: Ritual jades; 兵器仪仗类: Weapons & insignia; 工具类: Tools & implements; 端饰类: Decorative fittings （/）; 镶嵌件: Inlay & composite parts /; 丧葬类: Funerary objects; 生活用具: Domestic utensils; 身份象征: Status & authority symbols; 其他: Other; 未知: Unknown; 佩饰: 佩饰类; 兵器仪仗: 兵器仪仗类; 工具: 工具类; 端饰: 端饰类, 构件装饰"
玉器 jade,,,,,JCF01：Personal ornaments 佩饰类,\,唯一值,,"JCT0101	：玉璜	Jade huang (arc pendant)
JCT0102	：玉佩/坠饰	Pendant
JCT0103	：玉管	Tube bead
JCT0104	：玉珠	Bead
JCT0105	：玉环	Ring
JCT0106	：玉镯	Bracelet/bangle
JCT0107	：玉耳饰	Earring
JCT0108	：玉饰片	Ornament plaque
其他：填入实际值
未知：null",,玉璜->JCT0101; 坠饰->JCT0102; 玉佩->JCT0102; 玉管->JCT0103; 玉珠->JCT0104; 玉环->JCT0105; 玉镯->JCT0106; 玉耳饰->JCT0107; 玉饰片->JCT0108,玉佩: 坠饰; 玉璜: Jade huang (arc pendant); 玉佩: / Pendant; 玉管: Tube bead; 玉珠: Bead; 玉环: Ring; 玉镯: Bracelet/bangle; 玉耳饰: Earring; 玉饰片: Ornament plaque; 坠饰: 玉佩
玉器 jade,,,,,JCF02：Ritual jades 玉礼器,\,唯一值,,"JCT0201	：璧	Bi disc
JCT0202	：琮	Cong tube
JCT0203	：圭	Gui tablet
JCT0204	：璋	Zhang blade-tablet
JCT0205	：琥	Hu tiger-shaped tablet
JCT0206	：璜（礼制类）	Huang (ritual form)
JCT0207	：礼仪组合件	Ritual set component
其他：填入实际值
未知：null",,礼制->JCT0206; 礼制类->JCT0206; 礼仪组合件->JCT0207,礼制: 礼制类; 璧: Bi disc; 琮: Cong tube; 圭: Gui tablet; 璋: Zhang blade-tablet; 琥: Hu tiger-shaped tablet; 璜: （） Huang (ritual form); 礼仪组合件: Ritual set component
玉器 jade,,,,,JCF03：Weapons & insignia 兵器仪仗类,\,唯一值,,"JCT0301	：玉戈	Jade ge (dagger-axe)
JCT0302	：玉钺	Jade yue (axe)
JCT0303	：玉刀	Jade knife
JCT0304	：玉剑饰/剑首	Sword fitting
JCT0305	：玉矛/枪饰	Spear fitting
JCT0306	：仪仗端饰	Insignia finial
其他：填入实际值
未知：null",,玉戈->JCT0301; 玉钺->JCT0302; 玉刀->JCT0303; 剑首->JCT0304; 玉剑饰->JCT0304; 玉矛->JCT0305; 枪饰->JCT0305; 仪仗端饰->JCT0306,玉剑饰: 剑首; 玉矛: 枪饰; 玉戈: Jade ge (dagger-axe); 玉钺: Jade yue (axe); 玉刀: Jade knife; 玉剑饰: / Sword fitting; 玉矛: / Spear fitting; 仪仗端饰: Insignia finial; 剑首: 玉剑饰; 枪饰: 玉矛
玉器 jade,,,,,JCF04：Tools & implements 工具类,\,唯一值,,"JCT0401	：玉凿	Chisel
JCT0402	：玉斧	Axe
JCT0403	：玉铲	Spade
JCT0404	：玉锛	Adze
JCT0405	：玉磨石/砥石	Whetstone/abrader
其他：填入实际值
未知：null",,玉凿->JCT0401; 玉斧->JCT0402; 玉铲->JCT0403; 玉锛->JCT0404; 砥石->JCT0405; 玉磨石->JCT0405,玉磨石: 砥石; 玉凿: Chisel; 玉斧: Axe; 玉铲: Spade; 玉锛: Adze; 玉磨石: / Whetstone/abrader; 砥石: 玉磨石
玉器 jade,,,,,JCF05：Decorative fittings 端饰类（器物端部/构件装饰）,\,唯一值,,"JCT0501	：端饰/套筒饰	Terminal fitting
JCT0502	：带扣/带饰	Belt hook/ornament
JCT0503	：冠饰/帽饰	Headdress ornament
JCT0504	：车马器饰	Chariot/horse gear ornament
其他：填入实际值
未知：null",,端饰->JCT0501; 套筒饰->JCT0501; 带扣->JCT0502; 带饰->JCT0502; 冠饰->JCT0503; 帽饰->JCT0503; 车马器饰->JCT0504,端饰: 套筒饰; 带扣: 带饰; 冠饰: 帽饰; 端饰: / Terminal fitting; 带扣: / Belt hook/ornament; 冠饰: / Headdress ornament; 车马器饰: Chariot/horse gear ornament; 带饰: 带扣
玉器 jade,,,,,JCF06：Inlay & composite parts 镶嵌件/嵌玉漆器部件,\,唯一值,,"JCT0601	：镶嵌片	Inlay plaque
JCT0602	：嵌饰条	Inlay strip
JCT0603	：嵌玉漆器构件	Lacquer-inlay component
JCT0604	：镶嵌残片	Inlay fragment
其他：填入实际值
未知：null",,镶嵌片->JCT0601; 嵌饰条->JCT0602; 嵌玉漆器构件->JCT0603; 镶嵌残片->JCT0604,镶嵌片: Inlay plaque; 嵌饰条: Inlay strip; 嵌玉漆器构件: Lacquer-inlay component; 镶嵌残片: Inlay fragment
