文物类型,"文化特征单元 CAU
（Culture Attributes Unit）",CAU ID,文化特征单元定义（CAU Definition）,一级指标,二级指标,三级指标,值类型,索引/主键,抽取值字典/定义,原文描述/术语示例,原文描述转写示例,同义词示例,,,,
陶器 pottery,人工物品编号,ObjectIdentifier,记录其唯一的编号。,人工物品编号,\,\,文本,是,"原文描述，形如：M4:17，或M5:20-3
*此项必须具备值",,,,,,,
,器物名称,PotteryName,记录对某一具体陶器个体所使用的名称或称谓。该名称作为识别性标签，用于指代该陶器本身，而不等同于其器型分类、功能类别或文化属性。,器物名称,\,\,文本,,描述原文，如无相关内容则为null,,,,,,,
,子区域编号或名称,SubAreaIdentifier,区域的编号或名称,子区域名称,\,\,文本,是,出土的遗址中的子区域名称，如无则为null,,,,,,,
,,,,子区域编号,\,\,文本,是,出土的遗址中的子区域编号，如无则为null,,,,,,,
,原位遗迹实体,HumanMadeFeature,人类活动形成、并且不可在不破坏其整体性的情况下被移动的空间性特征,遗址名称,\,\,文本,是,"出土的遗址名称
*此项必须具备值",盘龙山一期、反山遗址,,,,,,
,,,,出土人造单元,\,\,文本,是,"出土的人造单元名称或编号
*此项必须具备值","M12,、十二号墓",,,,,,
,陶土种类,ClayFabricType,胎土整体材质特征，陶土的基本类型,胎土结构（Paste structure）,\,\,唯一值,,"PS1：Fine clay ware	泥质陶：以细泥为主，少或无明显夹杂
PS2：Sand-tempered ware	夹砂陶	：明显加入砂质颗粒
PS3：Fine-sand ware 细砂陶：夹杂以细砂为主
PS4：Grit-tempered ware 粗砂/碎屑夹杂陶：粗颗粒明显
其他：填入实际值
未知：null",,,,,,,
,,,,胎色与烧成表观（Body color & effect）,\,\,唯一值,,"BC1：Red ware 红陶：氧化焰烧成，胎色偏红
BC2：Grey ware 灰陶：还原或不完全氧化
BC3：Black ware 黑陶：强还原或渗碳
BC4：White ware 白陶：高岭质或脱铁明显
BC5：Buff/light-colored ware 淡色陶：浅黄、浅褐
其他：填入实际值
未知：null",,,例如：灰陶 = 灰白陶；,,,,
,,,,技术结果（Technical outcome）,\,\,唯一值,,"TC1：Hard ware 硬陶：高温烧成，胎体致密
TC2：Soft ware 软陶	：低温烧成，胎体疏松
TC3：Black-skinned ware 黑皮陶：表层发黑、内胎非黑
TC4：Burnished black ware	 磨光黑陶：黑陶+高磨光
其他：填入实际值
未知：null",,,,,,,
,,,,胎色亚型（Body color subtype）,\,\,唯一值,,"BS1：Red body 红胎
BS2：Grey body 灰胎
BS3：Black core 黑心
BS4：White core 白胎
其他：填入实际值
未知：null",,,,,,,
,,,,工艺/结构亚型（Technique & Structure）,\,\,唯一值,,"TS1：Fine-textured 质地细腻
TS2：Coarse-textured 质地粗
TS3：Compact 致密
TS4：Porous 多孔
其他：填入实际值
未知：null",,,,,,,
,陶土细腻程度 ,Clay Fineness,胎土颗粒大小及均匀度,陶土细腻程度,\,\,唯一值,,"CF1：Very coarse 极粗：颗粒明显粗大，杂质清晰可见，常为未淘洗自然泥
CF2：Coarse 粗：可见较多粗颗粒，均匀性差
CF3：Medium 中等：颗粒可见但较均匀
CF4：Fine 细：颗粒细小，肉眼难辨，淘洗较充分
CF5：Very fine 极细：颗粒极细，质地致密，常与高技术投入相关
其他：填入实际值
未知：null",极细、细、中等、粗、极粗等,"“粗胎”“胎质粗糙” → CF2-2

“胎质较细”“细腻” → CF2-4

“胎质极细”“如泥浆状” → CF2-5

“夹砂较多” → CF2-2 或 CF2-3（结合掺杂模块）",,,,,
,保存状况,PreservationState,器物本体的保存完整性。,本体完整性评价 PreservationState Dimension,\,\,属性族,,"PSD1：Completeness 完整性：是否完整、残缺程度
PSD2：Fragmentation 碎裂程度：是否破碎、多片
PSD3：Structural integrity 结构稳定性：是否变形、断裂
PSD4：Surface preservation 表面保存：是否剥蚀、脱落
PSD5：Edge condition 断口状况：新断/旧断、磨损
PSD6：Restoration presence 修复情况：是否拼对、修复
PSD7：其他
PSD8：未知
*分支除未知外，为复选",完好、残缺、破碎、烧裂、蚀损、基本完整、风化等,,,,,,
,,,,,PSD1：Completeness 完整性：是否完整、残缺程度,\,数量值,,"完整：1
残缺：fragment_count 残片数量（＞1的整数）
其他：填入实际值
未知：null",,,,,,,
,,,,,PSD2：Fragmentation 碎裂程度：是否破碎、多片,\,唯一值,,"PSD2-1：Very poor 极差：严重破碎，仅存少量残片
PSD2-2：Poor 较差：多片残破，难以复原整体
PSD2-3：Fair 一般：残缺但可识别形态
PSD2-4：Good 较好：基本完整，局部破损
PSD2-5：Excellent 极好：完整或近完整
其他：填入实际值
未知：null",,,,,,,
,,,,,PSD3：Structural integrity 结构稳定性：是否变形、断裂,\,唯一值,,待补充,,,,,,,
,,,,,PSD4：Surface preservation 表面保存：是否剥蚀、脱落,\,唯一值,,待补充,,,,,,,
,,,,,PSD5：Edge condition 断口状况：新断/旧断、磨损,\,唯一值,,待补充,,,,,,,
,,,,,PSD6：Restoration presence 修复情况：是否拼对、修复,\,二值化,,"refit_success	可拼对：1；不可拼对：0",,,,,,,
,,,,,PSD7：其他,\,文本,,填写描述原文,,,,,,,
,,,,,PSD8：未知,\,文本,,null,,,,,,,
,完整程度,CompletenessDegree,器物结构部件的保留程度,结构部件完整程度,\,\,唯一值,,"CPD1：Extremely fragmentary：极不完整，少量残片，难以识别器型
CPD2：Fragmentary	残缺：多片残存，器型可辨但严重缺失
CPD3：Partially complete 部分完整：主要结构在，局部缺失
CPD4：Nearly complete 基本完整：少量缺失，不影响整体
CPD5：：Complete 完整：无明显缺失
其他：填入实际值
未知：null",全器、半器、局部残片、不可判类型、壁片、足片等,"“残片”“碎片” → CPD1
“残存”“缺口明显” → CPD2
“残缺但可复原” → CPD3
“基本完整”“缺一小部” → CPD4
“完整器” → CPD5",,,,,
